experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic64m,mean,0.0,1000,0.262,1.0,813172,0.0,0.0
ours-cpp,synthetic1b,max,0.01,200,0.078,0.9998,3979128,0.0,0.0
ours-cpp,nycdata,L2LN,0.05,1200,0.342,0.969,592060,0.05,0.021
ours-cpp,synthetic32m,divide,0.1,1200,0.043,0.9959,309168,0.029,0.003
ours-cpp,synthetic16m,weightsum,0.0,600,0.085,1.0,679356,0.0,0.0
ours-cpp,synthetic32m,minus,0.1,1200,0.033,0.9856,308256,0.029,0.006
ours-cpp,synthetic128m,mean,0.0,1200,0.385,1.0,1089064,0.0,0.0
ours-cpp,synthetic1b,mean,0.01,200,0.085,0.9932,3922016,0.009,0.003
ours-cpp,synthetic128m,L22,0.01,200,0.019,0.9972,937732,0.004,0.001
ours-cpp,synthetic1b,L2LN,0.01,600,0.205,0.9964,4047336,0.007,0.001
ours-cpp,synthetic2m,mean,0.05,600,0.026,0.986,225964,0.029,0.006
ours-cpp,synthetic128m,func1,0.1,600,0.033,1.0,629076,0.0,0.0
ours-cpp,synthetic512m,L22,0.0,600,0.118,1.0,2712624,0.0,0.0
ours-cpp,synthetic2m,variance,0.0,600,0.057,1.0,488932,0.0,0.0
ours-cpp,synthetic16m,L2,0.01,400,0.045,0.9958,473348,0.006,0.002
ours-cpp,synthetic8m,divide,0.1,1000,0.034,0.9952,170332,0.034,0.004
ours-cpp,nycdata,multi,0.01,200,0.013,0.9944,606048,0.01,0.003
ours-cpp,synthetic32m,L2LN,0.0,600,0.127,1.0,771292,0.0,0.0
ours-cpp,synthetic1b,divide,0.01,800,0.105,0.9998,3910764,0.0,0.0
ours-cpp,synthetic64m,mean,0.01,200,0.035,0.9933,601208,0.009,0.003
ours-cpp,synthetic64m,L2LN,0.0,1200,0.266,1.0,948656,0.0,0.0
ours-cpp,synthetic4m,mean,0.1,200,0.011,0.9739,136148,0.06,0.014
ours-cpp,synthetic32m,max,0.05,200,0.015,0.99,366284,0.012,0.005
ours-cpp,sensordata,max,0.0,1200,0.155,1.0,956132,0.0,0.0
ours-cpp,synthetic32m,L2,0.05,600,0.083,0.9913,373948,0.036,0.003
ours-cpp,synthetic32m,L22,0.05,600,0.023,0.9866,393256,0.025,0.006
ours-cpp,synthetic1b,func1,0.05,200,0.012,1.0,3646908,0.0,0.0
ours-cpp,synthetic64m,L2LN,0.0,200,0.05,1.0,922840,0.0,0.0
ours-cpp,synthetic512m,variance,0.05,200,0.068,0.9865,2098392,0.042,0.007
ours-cpp,synthetic256m,multi,0.1,1000,0.082,0.9871,1058528,0.036,0.006
ours-cpp,synthetic256m,divide,0.1,1200,0.075,0.9988,1058528,0.016,0.0
ours-cpp,synthetic128m,mean,0.01,200,0.052,0.9942,848952,0.008,0.002
ours-cpp,synthetic1b,boxcox0,0.1,200,0.009,1.0,3598040,0.0,0.0
ours-cpp,synthetic8m,variance,0.0,1200,0.136,1.0,560796,0.0,0.0
ours-cpp,nycdata,plus,0.0,600,0.032,1.0,792972,0.0,0.0
ours-cpp,synthetic4m,L2LN,0.01,800,0.044,0.996,431384,0.006,0.001
ours-cpp,synthetic256m,divide,0.0,800,0.085,1.0,1466632,0.0,0.0
ours-cpp,synthetic64m,weightsum,0.05,1000,0.144,0.9916,520208,0.015,0.003
ours-cpp,synthetic2m,L22,0.1,1200,0.02,0.9775,175524,0.041,0.011
ours-cpp,synthetic64m,max,0.01,200,0.028,0.9998,645592,0.0,0.0
ours-cpp,synthetic16m,L22,0.1,800,0.029,0.9687,268468,0.06,0.016
ours-cpp,synthetic128m,func1,0.0,800,0.024,1.0,966976,0.0,0.0
ours-cpp,synthetic512m,plus,0.05,1200,0.09,0.9828,2022480,0.035,0.008
ours-cpp,synthetic1m,L2,0.01,800,0.024,0.9938,348600,0.009,0.002
ours-cpp,synthetic2m,max,0.05,800,0.023,0.9905,247820,0.009,0.005
ours-cpp,synthetic1b,weightsum,0.05,1200,0.406,0.993,3807504,0.017,0.003
ours-cpp,synthetic512m,weightsum,0.05,400,0.165,0.9937,2147556,0.024,0.003
ours-cpp,synthetic8m,variance,0.01,200,0.019,0.9963,383348,0.01,0.001
ours-cpp,synthetic1b,multi,0.05,1200,0.135,0.9888,3706956,0.016,0.005
ours-cpp,synthetic512m,variance,0.05,800,0.323,0.991,2106776,0.016,0.004
ours-cpp,synthetic1m,L2,0.0,1000,0.05,1.0,486548,0.0,0.0
ours-cpp,synthetic2m,variance,0.05,1200,0.056,0.9904,247556,0.015,0.004
ours-cpp,synthetic32m,multi,0.05,1200,0.043,0.9784,331820,0.04,0.011
ours-cpp,synthetic128m,minus,0.05,800,0.055,0.9915,661028,0.008,0.002
ours-cpp,synthetic1b,boxcox0,0.01,1200,0.048,1.0,3841916,0.0,0.0
ours-cpp,synthetic1m,multi,0.05,800,0.007,0.9811,200612,0.038,0.009
ours-cpp,synthetic64m,divide,0.05,1000,0.05,0.9996,455488,0.014,0.0
ours-cpp,synthetic1m,plus,0.01,400,0.006,0.9967,276552,0.006,0.001
ours-cpp,synthetic32m,variance,0.0,200,0.046,1.0,672624,0.0,0.001
