experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic16m,divide,0.05,800,0.029,0.9994,289856,0.001,0.0
ours-cpp,sensordata,weightsum,0.1,800,0.099,1.0,501188,0.0,0.0
ours-cpp,stockdata,L22,0.0,1000,0.016,1.0,696392,0.0,0.0
ours-cpp,stockdata,weightsum,0.0,1000,0.06,1.0,688896,0.0,0.0
ours-cpp,synthetic64m,L22,0.05,400,0.02,0.9809,523376,0.036,0.009
ours-cpp,synthetic256m,multi,0.01,1000,0.091,0.9976,1250064,0.005,0.001
ours-cpp,synthetic1m,mean,0.0,1200,0.071,1.0,453408,0.0,0.0
ours-cpp,synthetic512m,variance,0.01,400,0.159,0.9937,2316044,0.009,0.003
ours-cpp,synthetic64m,boxcox0,0.1,800,0.03,1.0,415232,0.0,0.0
ours-cpp,nycdata,weightsum,0.1,400,0.063,0.9863,350988,0.02,0.007
ours-cpp,synthetic16m,weightsum,0.1,400,0.026,0.9856,268468,0.057,0.006
ours-cpp,nycdata,multi,0.1,1200,0.033,0.9705,266988,0.096,0.017
ours-cpp,synthetic256m,plus,0.1,600,0.031,0.987,1057880,0.036,0.005
ours-cpp,synthetic2m,L22,0.05,800,0.018,0.9961,273420,0.016,0.001
ours-cpp,synthetic1b,L2,0.0,400,0.197,1.0,4270496,0.0,0.0
ours-cpp,synthetic128m,minus,0.01,1000,0.076,0.9917,814168,0.009,0.002
ours-cpp,soccerdata,L2LN,0.01,1200,0.335,0.9936,743540,0.01,0.004
ours-cpp,soccerdata,L2,0.0,600,0.173,1.0,911688,0.0,0.0
ours-cpp,synthetic32m,variance,0.0,400,0.082,1.0,672880,0.0,0.0
ours-cpp,synthetic2m,boxcox0,0.1,400,0.007,1.0,107172,0.0,0.0
ours-cpp,stockdata,weightsum,0.01,1000,0.047,0.9997,541368,0.0,0.0
ours-cpp,sensordata,mean,0.1,1000,0.148,0.9999,501188,0.001,0.0
ours-cpp,synthetic8m,L2,0.01,800,0.05,0.9938,405464,0.01,0.002
ours-cpp,stockdata,L22,0.1,200,0.006,1.0,288740,0.0,0.0
ours-cpp,synthetic4m,minus,0.01,1000,0.026,0.992,331284,0.006,0.002
ours-cpp,nycdata,plus,0.1,800,0.021,0.9711,259068,0.057,0.017
ours-cpp,soccerdata,boxcox0,0.0,200,0.004,1.0,744068,0.0,0.0
ours-cpp,synthetic64m,variance,0.0,1000,0.268,1.0,841012,0.0,0.0
ours-cpp,stockdata,boxcox0,0.1,600,0.003,1.0,176496,0.0,0.0
ours-cpp,nycdata,L22,0.1,600,0.021,0.9883,367884,0.018,0.007
ours-cpp,synthetic32m,max,0.05,600,0.043,0.9931,366284,0.007,0.003
ours-cpp,synthetic64m,boxcox0,0.0,1200,0.023,1.0,713416,0.0,0.0
ours-cpp,soccerdata,L22,0.01,400,0.019,0.9999,688400,0.0,0.0
ours-cpp,synthetic1b,L2LN,0.05,600,0.138,0.9841,3820916,0.039,0.009
ours-cpp,soccerdata,weightsum,0.05,1200,0.113,0.9954,505012,0.009,0.002
ours-cpp,nycdata,weightsum,0.05,800,0.127,0.9888,519444,0.015,0.006
ours-cpp,synthetic16m,max,0.01,1000,0.072,0.9913,468860,0.008,0.004
ours-cpp,synthetic1m,func1,0.0,200,0.002,1.0,386212,0.0,0.0
ours-cpp,synthetic4m,mean,0.0,800,0.08,1.0,507136,0.0,0.0
ours-cpp,stockdata,plus,0.0,400,0.006,1.0,574008,0.0,0.0
ours-cpp,synthetic1m,boxcox0,0.01,400,0.003,1.0,271280,0.0,0.0
ours-cpp,synthetic64m,weightsum,0.01,200,0.035,0.996,665316,0.007,0.002
ours-cpp,synthetic4m,multi,0.1,1000,0.021,0.9957,127700,0.007,0.002
ours-cpp,stockdata,weightsum,0.01,1200,0.053,0.9997,546612,0.0,0.0
ours-cpp,soccerdata,minus,0.01,1000,0.034,0.9995,575132,0.002,0.0
ours-cpp,synthetic1b,divide,0.01,200,0.031,0.9995,3905228,0.001,0.0
ours-cpp,synthetic16m,L2,0.01,1000,0.098,0.996,483008,0.005,0.001
ours-cpp,synthetic128m,variance,0.0,400,0.127,1.0,1089064,0.0,0.0
ours-cpp,nycdata,weightsum,0.1,200,0.038,0.984,350988,0.025,0.009
ours-cpp,synthetic64m,weightsum,0.05,600,0.089,0.9911,512480,0.017,0.003
ours-cpp,synthetic512m,func1,0.05,1000,0.052,1.0,1999096,0.0,0.0
ours-cpp,synthetic128m,L22,0.0,800,0.079,1.0,1182232,0.0,0.0
ours-cpp,synthetic256m,func1,0.05,600,0.019,1.0,1070452,0.0,0.0
ours-cpp,synthetic16m,minus,0.01,800,0.032,0.9977,397520,0.003,0.001
ours-cpp,synthetic256m,minus,0.0,1200,0.131,1.0,1438548,0.0,0.0
ours-cpp,synthetic16m,L2LN,0.0,1000,0.14,1.0,725164,0.0,0.0
ours-cpp,synthetic1b,L2LN,0.05,200,0.074,0.9943,3817072,0.011,0.002
ours-cpp,stockdata,multi,0.01,1200,0.014,1.0,466756,0.0,0.0
ours-cpp,nycdata,plus,0.01,200,0.011,0.9937,592324,0.01,0.004
ours-cpp,synthetic1b,mean,0.1,1200,0.232,0.986,3603340,0.044,0.006
ours-cpp,synthetic256m,L22,0.01,1200,0.096,0.9983,1367588,0.005,0.001
ours-cpp,synthetic1m,weightsum,0.1,1200,0.028,0.9823,163396,0.056,0.008
ours-cpp,synthetic32m,max,0.1,400,0.029,0.9918,309168,0.008,0.004
ours-cpp,synthetic8m,max,0.0,1000,0.055,1.0,564224,0.0,0.0
ours-cpp,synthetic1m,L2LN,0.0,200,0.015,1.0,513736,0.0,0.0
ours-cpp,synthetic1b,mean,0.0,400,0.296,1.0,4176272,0.0,0.0
ours-cpp,synthetic512m,boxcox0,0.05,1000,0.051,1.0,2004924,0.0,0.0
ours-cpp,stockdata,minus,0.01,1000,0.013,1.0,454876,0.0,0.0
ours-cpp,synthetic8m,minus,0.05,1200,0.037,0.9736,230240,0.037,0.009
ours-cpp,synthetic8m,minus,0.05,200,0.009,0.9944,223376,0.012,0.002
ours-cpp,synthetic512m,variance,0.0,400,0.205,1.0,2594908,0.0,0.0
ours-cpp,nycdata,L2,0.01,600,0.109,0.9951,678152,0.007,0.002
ours-cpp,synthetic16m,L2LN,0.01,800,0.073,0.9949,516212,0.008,0.002
ours-cpp,soccerdata,L22,0.05,400,0.019,0.9999,506568,0.0,0.0
ours-cpp,synthetic1b,minus,0.0,600,0.102,1.0,4105608,0.0,0.0
ours-cpp,synthetic2m,variance,0.01,600,0.033,0.9923,350860,0.009,0.003
ours-cpp,synthetic16m,max,0.0,400,0.037,1.0,643768,0.0,0.0
ours-cpp,synthetic1b,minus,0.05,1000,0.13,0.9928,3686684,0.012,0.002
ours-cpp,synthetic16m,mean,0.05,600,0.048,0.9896,302528,0.018,0.004
ours-cpp,synthetic1m,max,0.0,1000,0.018,1.0,471288,0.0,0.0
ours-cpp,sensordata,multi,0.05,800,0.063,0.9803,546788,0.028,0.014
ours-cpp,nycdata,L2,0.01,400,0.073,0.9936,676044,0.01,0.003
ours-cpp,synthetic8m,weightsum,0.1,1200,0.098,0.9906,192620,0.033,0.004
ours-cpp,synthetic64m,L2,0.01,800,0.105,0.9957,655492,0.006,0.001
ours-cpp,soccerdata,divide,0.1,200,0.018,0.9458,262772,0.094,0.047
ours-cpp,stockdata,plus,0.01,400,0.006,1.0,443524,0.0,0.0
ours-cpp,synthetic512m,variance,0.0,1200,0.505,1.0,2624184,0.0,0.0
ours-cpp,synthetic4m,plus,0.01,1200,0.026,0.9942,323892,0.009,0.002
ours-cpp,stockdata,func1,0.01,400,0.003,1.0,443524,0.0,0.0
ours-cpp,soccerdata,minus,0.1,600,0.021,0.9905,253532,0.012,0.004
ours-cpp,stockdata,L2,0.1,1200,0.052,0.9999,275300,0.0,0.0
ours-cpp,soccerdata,divide,0.01,800,0.065,0.9926,599848,0.009,0.005
ours-cpp,synthetic1b,L22,0.05,400,0.062,0.9953,3807980,0.008,0.002
ours-cpp,synthetic1m,L22,0.1,200,0.004,0.9627,163660,0.081,0.021
ours-cpp,synthetic8m,mean,0.01,1000,0.066,0.9951,377016,0.006,0.002
ours-cpp,nycdata,plus,0.0,200,0.016,1.0,791652,0.0,0.0
ours-cpp,synthetic1m,L2,0.01,400,0.015,0.9946,344120,0.007,0.002
ours-cpp,synthetic32m,max,0.1,1000,0.08,0.9942,309468,0.005,0.002
ours-cpp,nycdata,max,0.05,600,0.09,0.9994,488284,0.001,0.0
ours-cpp,synthetic256m,multi,0.05,400,0.033,0.9958,1101032,0.011,0.002
ours-cpp,synthetic8m,divide,0.1,600,0.021,0.9947,170332,0.059,0.004
ours-cpp,sensordata,minus,0.1,400,0.023,0.9983,479952,0.003,0.001
ours-cpp,synthetic1m,weightsum,0.01,1200,0.034,0.9956,367344,0.007,0.002
ours-cpp,synthetic128m,plus,0.0,600,0.062,1.0,978764,0.0,0.0
ours-cpp,synthetic512m,divide,0.0,600,0.088,1.0,2522804,0.0,0.0
ours-cpp,nycdata,max,0.01,400,0.055,0.9995,668208,0.001,0.0
ours-cpp,synthetic512m,boxcox0,0.0,400,0.02,1.0,2434244,0.0,0.0
ours-cpp,synthetic2m,max,0.01,400,0.015,0.9998,360688,0.0,0.0
ours-cpp,stockdata,minus,0.0,200,0.003,1.0,580608,0.0,0.0
ours-cpp,synthetic4m,multi,0.01,400,0.01,0.9976,336032,0.003,0.001
ours-cpp,synthetic4m,divide,0.0,400,0.013,1.0,483184,0.0,0.0
ours-cpp,synthetic128m,boxcox0,0.0,600,0.015,1.0,967768,0.0,0.0
ours-cpp,synthetic32m,mean,0.1,200,0.02,0.9837,309168,0.068,0.008
ours-cpp,stockdata,divide,0.0,1000,0.033,1.0,609508,0.0,0.0
ours-cpp,synthetic1m,variance,0.01,1000,0.04,0.9959,334092,0.004,0.002
ours-cpp,nycdata,L22,0.05,1200,0.034,0.9891,533956,0.015,0.006
ours-cpp,synthetic512m,minus,0.1,400,0.064,0.9664,1940268,0.077,0.014
ours-cpp,stockdata,weightsum,0.0,200,0.019,1.0,681216,0.0,0.0
ours-cpp,soccerdata,L2,0.01,1200,0.115,0.9976,672304,0.007,0.001
ours-cpp,synthetic512m,L2LN,0.0,600,0.251,1.0,2737536,0.0,0.0
ours-cpp,nycdata,variance,0.0,1000,0.195,1.0,890852,0.0,0.0
ours-cpp,synthetic16m,L2,0.05,1200,0.086,0.9911,344304,0.032,0.003
ours-cpp,nycdata,mean,0.05,1200,0.171,0.976,475120,0.036,0.013
ours-cpp,soccerdata,weightsum,0.1,1000,0.101,0.9956,329596,0.009,0.002
ours-cpp,synthetic1m,L2,0.1,800,0.021,0.982,151316,0.061,0.008
ours-cpp,synthetic1b,L22,0.0,800,0.157,1.0,4340580,0.0,0.0
ours-cpp,synthetic4m,multi,0.01,1200,0.024,0.996,344480,0.006,0.002
ours-cpp,synthetic1b,plus,0.01,800,0.11,0.9975,3854132,0.004,0.001
ours-cpp,synthetic32m,func1,0.0,1200,0.021,1.0,570196,0.0,0.0
ours-cpp,soccerdata,boxcox0,0.01,400,0.007,1.0,558220,0.0,0.0
ours-cpp,soccerdata,mean,0.1,800,0.104,0.9894,277448,0.022,0.005
ours-cpp,synthetic64m,divide,0.1,600,0.041,0.9997,415232,0.033,0.0
ours-cpp,nycdata,plus,0.01,600,0.026,0.9925,592588,0.01,0.004
ours-cpp,synthetic16m,boxcox0,0.0,600,0.011,1.0,527036,0.0,0.0
ours-cpp,synthetic1b,variance,0.01,800,0.365,0.9952,3962972,0.006,0.002
ours-cpp,synthetic256m,L2,0.01,600,0.145,0.9958,1326500,0.006,0.001
ours-cpp,synthetic512m,func1,0.1,200,0.023,1.0,1938000,0.0,0.0
ours-cpp,synthetic1m,func1,0.05,600,0.004,1.0,176860,0.0,0.0
ours-cpp,nycdata,minus,0.0,800,0.035,1.0,805908,0.0,0.0
ours-cpp,synthetic32m,divide,0.01,200,0.009,0.9991,456452,0.004,0.001
ours-cpp,synthetic64m,mean,0.0,600,0.171,1.0,794956,0.0,0.0
ours-cpp,synthetic1m,divide,0.01,800,0.01,0.9997,305588,0.0,0.0
ours-cpp,sensordata,variance,0.01,200,0.029,0.9997,735748,0.0,0.0
ours-cpp,nycdata,variance,0.05,1200,0.201,0.9968,488020,0.004,0.001
ours-cpp,synthetic1b,weightsum,0.01,800,0.324,0.9935,4015888,0.01,0.002
ours-cpp,synthetic2m,func1,0.1,800,0.013,1.0,107172,0.0,0.0
ours-cpp,synthetic16m,weightsum,0.05,1000,0.076,0.9847,350960,0.039,0.007
ours-cpp,synthetic32m,plus,0.01,600,0.029,0.9973,421224,0.004,0.001
ours-cpp,synthetic16m,weightsum,0.05,800,0.063,0.9887,347792,0.034,0.005
ours-cpp,soccerdata,mean,0.0,800,0.235,1.0,843540,0.0,0.0
ours-cpp,synthetic2m,multi,0.01,600,0.013,0.9969,315884,0.006,0.001
ours-cpp,synthetic256m,mean,0.0,800,0.304,1.0,1499912,0.0,0.0
ours-cpp,synthetic512m,max,0.01,800,0.207,0.9914,2338312,0.009,0.004
ours-cpp,soccerdata,variance,0.01,200,0.026,0.9987,634576,0.002,0.001
ours-cpp,soccerdata,weightsum,0.0,800,0.191,1.0,951548,0.0,0.0
ours-cpp,stockdata,max,0.01,200,0.007,1.0,509524,0.0,0.0
ours-cpp,synthetic256m,variance,0.0,1200,0.396,1.0,1547640,0.0,0.0
ours-cpp,soccerdata,func1,0.05,1000,0.016,1.0,385096,0.0,0.0
ours-cpp,soccerdata,minus,0.1,800,0.026,0.9905,253532,0.009,0.004
ours-cpp,synthetic256m,boxcox0,0.0,800,0.023,1.0,1391988,0.0,0.0
ours-cpp,synthetic16m,mean,0.1,1000,0.069,0.9833,265536,0.048,0.008
ours-cpp,synthetic256m,L2LN,0.0,200,0.065,1.0,1633820,0.0,0.0
ours-cpp,synthetic8m,func1,0.05,800,0.019,1.0,208724,0.0,0.0
ours-cpp,synthetic512m,plus,0.1,600,0.058,0.9801,1938000,0.043,0.009
ours-cpp,soccerdata,L2LN,0.05,1000,0.239,0.974,546868,0.048,0.021
ours-cpp,synthetic4m,max,0.0,1000,0.041,1.0,540760,0.0,0.0
ours-cpp,synthetic1m,boxcox0,0.1,1200,0.013,1.0,96560,0.0,0.0
ours-cpp,stockdata,boxcox0,0.1,1200,0.006,1.0,178288,0.0,0.0
ours-cpp,synthetic128m,L2LN,0.01,200,0.042,0.9951,946756,0.008,0.002
ours-cpp,synthetic512m,L22,0.01,1200,0.144,0.9978,2406388,0.004,0.001
ours-cpp,synthetic256m,weightsum,0.01,400,0.09,0.9954,1343356,0.008,0.002
ours-cpp,synthetic4m,plus,0.0,400,0.016,1.0,445848,0.0,0.0
ours-cpp,synthetic1m,weightsum,0.1,200,0.012,0.9846,156596,0.032,0.007
ours-cpp,synthetic1b,variance,0.01,400,0.185,0.9938,3956208,0.008,0.002
ours-cpp,synthetic2m,L2LN,0.1,200,0.009,0.9825,175788,0.067,0.01
ours-cpp,synthetic128m,plus,0.05,600,0.047,0.9946,647180,0.013,0.002
ours-cpp,synthetic2m,variance,0.1,600,0.024,0.9605,139928,0.098,0.022
ours-cpp,synthetic1m,minus,0.0,1200,0.026,1.0,412696,0.0,0.0
ours-cpp,synthetic2m,L22,0.0,1200,0.036,1.0,552440,0.0,0.0
ours-cpp,synthetic32m,L22,0.05,400,0.015,0.9855,393256,0.028,0.007
ours-cpp,synthetic64m,L2LN,0.0,400,0.094,1.0,925376,0.0,0.0
ours-cpp,synthetic64m,plus,0.05,800,0.036,0.9821,423988,0.042,0.008
ours-cpp,synthetic512m,max,0.0,800,0.248,1.0,2626852,0.0,0.0
ours-cpp,stockdata,divide,0.1,400,0.006,0.9623,208264,0.086,0.034
ours-cpp,synthetic16m,weightsum,0.01,600,0.058,0.9964,489032,0.004,0.001
ours-cpp,soccerdata,boxcox0,0.01,1200,0.017,1.0,558920,0.0,0.0
ours-cpp,synthetic16m,weightsum,0.1,200,0.013,0.9724,268468,0.087,0.015
ours-cpp,synthetic4m,L2,0.05,1200,0.039,0.988,280260,0.037,0.005
ours-cpp,synthetic2m,minus,0.05,400,0.009,0.985,199708,0.019,0.005
ours-cpp,nycdata,plus,0.0,800,0.04,1.0,795348,0.0,0.0
ours-cpp,synthetic1m,boxcox0,0.01,600,0.005,1.0,271808,0.0,0.0
ours-cpp,synthetic128m,multi,0.01,200,0.016,0.9979,819924,0.004,0.001
ours-cpp,synthetic4m,weightsum,0.0,600,0.054,1.0,565908,0.0,0.0
ours-cpp,synthetic64m,boxcox0,0.1,200,0.008,1.0,415232,0.0,0.0
ours-cpp,synthetic8m,weightsum,0.0,1200,0.116,1.0,609364,0.0,0.0
ours-cpp,synthetic512m,func1,0.05,400,0.023,1.0,1999040,0.0,0.0
ours-cpp,nycdata,mean,0.0,1000,0.262,1.0,866980,0.0,0.0
ours-cpp,synthetic32m,variance,0.0,600,0.115,1.0,674180,0.0,0.0
ours-cpp,soccerdata,minus,0.0,600,0.029,1.0,758056,0.0,0.0
ours-cpp,synthetic8m,boxcox0,0.05,400,0.01,1.0,208988,0.0,0.0
ours-cpp,synthetic128m,divide,0.05,1200,0.097,0.9986,689648,0.043,0.001
ours-cpp,synthetic64m,weightsum,0.1,1200,0.109,0.9901,416508,0.036,0.004
ours-cpp,synthetic16m,plus,0.1,200,0.036,0.982,261636,0.035,0.009
ours-cpp,synthetic16m,max,0.05,1200,0.08,0.992,332780,0.007,0.004
ours-cpp,synthetic2m,L2,0.01,600,0.031,0.9939,368064,0.008,0.002
ours-cpp,synthetic16m,divide,0.01,200,0.008,0.9989,416460,0.002,0.001
ours-cpp,synthetic1b,minus,0.05,1200,0.125,0.9948,3691192,0.015,0.002
ours-cpp,synthetic256m,L22,0.1,400,0.025,0.9754,1060772,0.049,0.013
ours-cpp,nycdata,variance,0.01,200,0.039,0.9945,656116,0.009,0.003
ours-cpp,synthetic128m,boxcox0,0.01,600,0.016,1.0,782820,0.0,0.0
ours-cpp,synthetic1m,divide,0.0,1000,0.019,1.0,429296,0.0,0.0
ours-cpp,synthetic1b,divide,0.1,200,0.02,0.9989,3602960,0.075,0.001
ours-cpp,synthetic4m,mean,0.05,600,0.027,0.9838,243280,0.032,0.007
ours-cpp,synthetic256m,L2LN,0.01,1200,0.336,0.9982,1390220,0.003,0.001
ours-cpp,stockdata,boxcox0,0.01,200,0.002,1.0,443524,0.0,0.0
ours-cpp,synthetic8m,divide,0.05,1000,0.024,0.9952,245492,0.034,0.004
ours-cpp,synthetic1m,variance,0.05,200,0.008,0.9733,223804,0.05,0.014
ours-cpp,synthetic256m,plus,0.1,800,0.041,0.987,1057880,0.029,0.006
ours-cpp,synthetic512m,weightsum,0.0,1200,0.501,1.0,2708372,0.0,0.0
ours-cpp,synthetic512m,L2,0.05,200,0.063,0.9847,2128484,0.04,0.008
ours-cpp,synthetic128m,L2,0.05,1200,0.146,0.9905,746564,0.036,0.004
ours-cpp,soccerdata,L2,0.1,400,0.047,0.9967,304604,0.008,0.002
ours-cpp,synthetic16m,minus,0.0,1000,0.053,1.0,557656,0.0,0.0
ours-cpp,synthetic512m,minus,0.0,200,0.04,1.0,2469656,0.0,0.0
ours-cpp,synthetic2m,boxcox0,0.01,800,0.008,1.0,288728,0.0,0.0
ours-cpp,synthetic4m,mean,0.01,600,0.037,0.9939,360848,0.008,0.002
ours-cpp,synthetic64m,plus,0.05,1000,0.048,0.983,426364,0.044,0.008
ours-cpp,synthetic16m,multi,0.1,800,0.026,0.961,261636,0.084,0.021
ours-cpp,synthetic128m,weightsum,0.05,600,0.105,0.9901,748568,0.019,0.004
ours-cpp,synthetic64m,L2LN,0.05,600,0.079,0.9878,531544,0.031,0.006
ours-cpp,sensordata,max,0.05,1200,0.13,1.0,593948,0.0,0.0
ours-cpp,synthetic1b,max,0.0,600,0.215,1.0,4258632,0.0,0.0
ours-cpp,synthetic8m,mean,0.0,1000,0.125,1.0,534472,0.0,0.0
ours-cpp,synthetic1m,L22,0.0,600,0.014,1.0,506612,0.0,0.0
ours-cpp,synthetic1m,L2,0.05,1200,0.018,0.9866,246500,0.043,0.006
ours-cpp,synthetic2m,multi,0.0,400,0.012,1.0,441476,0.0,0.0
ours-cpp,synthetic512m,max,0.01,1000,0.25,0.9922,2343416,0.007,0.004
ours-cpp,synthetic4m,multi,0.01,600,0.013,0.9947,336560,0.009,0.002
ours-cpp,soccerdata,plus,0.05,200,0.014,0.9998,388376,0.0,0.0
ours-cpp,synthetic1m,L2LN,0.0,400,0.024,1.0,515316,0.0,0.0
ours-cpp,synthetic2m,L22,0.1,800,0.015,0.9737,172688,0.059,0.013
ours-cpp,sensordata,mean,0.05,1200,0.153,0.9999,580352,0.001,0.0
ours-cpp,synthetic32m,func1,0.05,1000,0.018,1.0,309468,0.0,0.0
ours-cpp,synthetic128m,variance,0.01,1000,0.208,0.9938,887144,0.008,0.002
ours-cpp,synthetic64m,L2LN,0.1,1000,0.11,0.9901,416508,0.024,0.005
ours-cpp,synthetic16m,minus,0.01,400,0.017,0.9971,394048,0.005,0.001
ours-cpp,sensordata,variance,0.01,400,0.055,0.9997,735748,0.0,0.0
ours-cpp,synthetic8m,minus,0.1,1200,0.043,0.9736,170332,0.037,0.009
ours-cpp,synthetic256m,weightsum,0.01,600,0.125,0.9961,1344136,0.006,0.001
ours-cpp,nycdata,variance,0.0,600,0.131,1.0,879784,0.0,0.0
ours-cpp,synthetic128m,divide,0.1,1200,0.062,0.9986,629996,0.043,0.001
ours-cpp,sensordata,plus,0.01,800,0.051,0.9963,667960,0.005,0.003
ours-cpp,synthetic1m,L2LN,0.05,1000,0.017,0.9852,268112,0.046,0.006
ours-cpp,synthetic32m,variance,0.1,400,0.032,0.9805,309168,0.067,0.009
ours-cpp,synthetic2m,max,0.05,200,0.007,0.9837,247820,0.02,0.009
ours-cpp,synthetic256m,plus,0.05,400,0.025,0.9805,1077968,0.05,0.009
ours-cpp,synthetic2m,multi,0.1,400,0.007,0.9697,116168,0.064,0.016
ours-cpp,synthetic16m,plus,0.0,400,0.021,1.0,532052,0.0,0.0
ours-cpp,synthetic16m,L2LN,0.0,1200,0.161,1.0,732804,0.0,0.0
ours-cpp,synthetic128m,minus,0.0,600,0.055,1.0,999008,0.0,0.0
ours-cpp,synthetic256m,L22,0.05,600,0.07,0.9825,1181928,0.039,0.008
ours-cpp,synthetic16m,divide,0.1,1000,0.033,0.9931,265536,0.08,0.004
ours-cpp,synthetic8m,minus,0.1,600,0.022,0.9619,170332,0.059,0.018
ours-cpp,synthetic32m,multi,0.1,800,0.024,0.9706,308256,0.049,0.017
ours-cpp,synthetic16m,multi,0.01,1200,0.042,0.9955,415672,0.007,0.002
ours-cpp,synthetic2m,plus,0.05,1000,0.015,0.9784,197332,0.049,0.01
ours-cpp,synthetic512m,L2,0.0,800,0.424,1.0,2654832,0.0,0.0
ours-cpp,synthetic8m,multi,0.0,600,0.023,1.0,488504,0.0,0.0
ours-cpp,synthetic32m,L22,0.05,800,0.031,0.9875,393256,0.022,0.005
ours-cpp,synthetic4m,multi,0.01,800,0.017,0.9953,338672,0.007,0.002
ours-cpp,synthetic256m,variance,0.1,1200,0.243,0.9908,1060772,0.027,0.004
ours-cpp,nycdata,multi,0.05,200,0.01,0.9808,426660,0.046,0.012
ours-cpp,synthetic1b,L22,0.1,600,0.066,0.959,3622196,0.088,0.022
ours-cpp,nycdata,divide,0.01,1200,0.047,0.993,621056,0.009,0.004
ours-cpp,stockdata,boxcox0,0.0,200,0.002,1.0,574008,0.0,0.0
ours-cpp,stockdata,L2,0.01,1000,0.044,0.9999,527476,0.0,0.0
ours-cpp,soccerdata,minus,0.0,800,0.037,1.0,761488,0.0,0.0
ours-cpp,synthetic1m,func1,0.01,800,0.007,1.0,270752,0.0,0.0
ours-cpp,synthetic128m,L2LN,0.1,800,0.224,0.9776,636516,0.045,0.011
ours-cpp,synthetic512m,max,0.05,1200,0.229,0.9926,2127888,0.007,0.003
ours-cpp,synthetic32m,max,0.05,1200,0.082,0.9945,371564,0.005,0.002
ours-cpp,synthetic4m,multi,0.05,1200,0.025,0.996,231412,0.006,0.002
ours-cpp,synthetic2m,multi,0.05,400,0.008,0.996,209072,0.013,0.002
ours-cpp,nycdata,L2,0.1,400,0.065,0.9882,330648,0.024,0.007
ours-cpp,nycdata,variance,0.05,200,0.047,0.9945,475384,0.009,0.003
ours-cpp,stockdata,mean,0.01,400,0.018,0.9984,481540,0.002,0.001
ours-cpp,stockdata,func1,0.1,1000,0.005,1.0,176496,0.0,0.0
ours-cpp,stockdata,multi,0.0,1200,0.017,1.0,599352,0.0,0.0
ours-cpp,synthetic4m,max,0.05,800,0.024,0.991,265428,0.009,0.004
ours-cpp,synthetic32m,L2,0.01,600,0.067,0.9937,514476,0.01,0.002
ours-cpp,synthetic32m,mean,0.1,400,0.03,0.9878,309168,0.049,0.005
ours-cpp,synthetic2m,L2LN,0.01,600,0.038,0.9945,400948,0.007,0.002
ours-cpp,synthetic16m,minus,0.05,1200,0.033,0.9716,274696,0.048,0.011
ours-cpp,synthetic1b,L2,0.0,1000,0.622,1.0,4293416,0.0,0.0
ours-cpp,synthetic1b,divide,0.0,600,0.101,1.0,4152244,0.0,0.0
ours-cpp,synthetic8m,func1,0.01,1200,0.014,1.0,313412,0.0,0.0
ours-cpp,soccerdata,L22,0.05,200,0.011,0.9999,506052,0.0,0.0
ours-cpp,soccerdata,divide,0.1,400,0.024,0.9445,265412,0.1,0.048
ours-cpp,stockdata,boxcox0,0.05,600,0.004,1.0,313280,0.0,0.0
ours-cpp,synthetic32m,multi,0.05,200,0.01,0.9967,324452,0.006,0.001
ours-cpp,synthetic256m,max,0.05,200,0.071,0.9903,1148884,0.011,0.005
ours-cpp,synthetic1m,boxcox0,0.05,800,0.005,1.0,178972,0.0,0.0
ours-cpp,synthetic8m,max,0.0,800,0.047,1.0,561852,0.0,0.0
ours-cpp,synthetic8m,variance,0.1,200,0.02,0.9797,170332,0.077,0.011
ours-cpp,stockdata,L2LN,0.1,1200,0.055,0.9716,312752,0.068,0.017
ours-cpp,soccerdata,boxcox0,0.0,1000,0.016,1.0,744860,0.0,0.0
ours-cpp,synthetic128m,variance,0.1,200,0.14,0.9829,633116,0.038,0.009
ours-cpp,synthetic32m,boxcox0,0.05,400,0.006,1.0,309468,0.0,0.0
ours-cpp,synthetic256m,L22,0.1,200,0.015,0.9753,1060772,0.058,0.014
ours-cpp,synthetic8m,variance,0.0,800,0.091,1.0,549796,0.0,0.0
ours-cpp,synthetic1b,L2,0.0,600,0.272,1.0,4275504,0.0,0.0
ours-cpp,synthetic4m,minus,0.01,800,0.021,0.9919,328908,0.007,0.002
ours-cpp,synthetic8m,plus,0.01,200,0.007,0.9962,318452,0.008,0.002
ours-cpp,synthetic512m,mean,0.05,1200,0.239,0.9895,2097996,0.038,0.004
ours-cpp,synthetic512m,L2LN,0.1,1200,0.229,0.9891,1998776,0.018,0.004
ours-cpp,sensordata,plus,0.1,800,0.042,0.964,475992,0.053,0.025
ours-cpp,synthetic1b,L2,0.05,400,0.095,0.9886,3769824,0.038,0.005
ours-cpp,synthetic32m,weightsum,0.01,400,0.05,0.9948,528224,0.008,0.002
ours-cpp,synthetic8m,multi,0.0,800,0.029,1.0,490980,0.0,0.0
ours-cpp,synthetic2m,plus,0.05,200,0.004,0.9908,191100,0.029,0.004
ours-cpp,soccerdata,L22,0.1,1000,0.038,0.9999,339628,0.0,0.0
ours-cpp,nycdata,boxcox0,0.01,800,0.012,1.0,592324,0.0,0.0
ours-cpp,synthetic8m,max,0.01,400,0.019,0.9921,394916,0.007,0.004
