data,interaction-type,columns,errorBound,function,width,start,end,iterations,sqltime,memeoryuse,error,nodecount,ssim
nycsecond,interaction-start,7I9,0.0,plus,600,141998399,283996799,91,0.089,1767688,0.0,71568,1.0
nycsecond,interaction-change-func,7,0.0,func1,600,141998399,283996799,1,0.031,1767688,0.0,43329,1.0
nycsecond,interaction-change-func,7I9,0.0,plus,600,141998399,283996799,91,0.09,1767688,0.0,71824,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,max,600,141998399,283996799,8,0.247,1768124,0.0,30611,1.0
nycsecond,interaction-resizeup,7I9I1I2I3I4I5I6I8I10I11,0.0,max,650,141998399,283996799,11,0.225,1768124,0.0,29844,1.0
nycsecond,interaction-zoomdown,7I9I1I2I3I4I5I6I8I10I11,0.0,max,650,0,283996799,24,0.317,1771944,0.0,64570,1.0
nycsecond,interaction-change-func,7I9,0.0,multi,650,0,283996799,446,0.278,1772608,0.0,457285,1.0
nycsecond,interaction-resizeup,7I9,0.0,multi,700,0,283996799,365,0.286,1773896,0.0,473764,1.0
nycsecond,interaction-resizedown,7I9,0.0,multi,650,0,283996799,446,0.309,1773932,0.0,455242,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,max,650,0,283996799,24,0.321,1773948,0.0,63636,1.0
nycsecond,interaction-change-func,7I9,0.0,L22,650,0,283996799,139,0.108,1773948,0.0,104284,1.0
nycsecond,interaction-change-column,8I4,0.0,L22,650,0,283996799,2,0.056,1773948,0.0,52106,1.0
nycsecond,interaction-change-column,8I10,0.0,L22,650,0,283996799,24,0.077,1773948,0.0,79876,1.0
nycsecond,interaction-resizedown,8I10,0.0,L22,600,0,283996799,18,0.083,1773948,0.0,71987,1.0
nycsecond,interaction-change-column,3I9,0.0,L22,600,0,283996799,45,0.074,1773948,0.0,78867,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,600,0,283996799,18,0.312,1775884,0.0,77088,1.0
nycsecond,interaction-zoomup,7I9I1I2I3I4I5I6I8I10I11,0.0,L2,600,70999200,212997599,19,0.28,1776240,0.0,72503,1.0
nycsecond,interaction-change-func,1I4,0.0,devide,600,70999200,212997599,54,0.083,1776336,0.0,113959,1.0
nycsecond,interaction-resizeup,1I4,0.0,devide,650,70999200,212997599,119,0.11,1776336,0.0,123229,1.0
nycsecond,interaction-change-func,7I9,0.0,L22,650,70999200,212997599,71,0.076,1776336,0.0,99074,1.0
nycsecond,interaction-change-func,7,0.0,boxcox0,650,70999200,212997599,0,0.02,1776336,0.0,25809,1.0
nycsecond,interaction-change-column,2,0.0,boxcox0,650,70999200,212997599,0,0.019,1776336,0.0,25809,1.0
nycsecond,interaction-resizeup,2,0.0,boxcox0,700,70999200,212997599,0,0.019,1776336,0.0,27813,1.0
nycsecond,interaction-change-func,7I9,0.0,minus,700,70999200,212997599,7,0.051,1776336,0.0,67000,1.0
nycsecond,interaction-change-column,1I4,0.0,minus,700,70999200,212997599,8,0.055,1776336,0.0,72670,1.0
nycsecond,interaction-change-column,10I1,0.0,minus,700,70999200,212997599,110,0.125,1776336,0.0,184672,1.0
nycsecond,interaction-change-column,10I8,0.0,minus,700,70999200,212997599,272,0.207,1776336,0.0,240700,1.0
nycsecond,interaction-change-func,7I9,0.0,plus,700,70999200,212997599,74,0.082,1776336,0.0,117641,1.0
