data,function,width,errorbound,ssim
nycdata,L2LN,600,0.0001,0.9999
nycdata,L2LN,600,0.01,0.9912
nycdata,L2LN,600,0.05,0.9754
nycdata,L2LN,600,0.1,0.9637
nycdata,L2LN,600,1e-08,1.0
nycdata,L2LN,800,0.0001,0.9999
nycdata,L2LN,800,0.01,0.9907
nycdata,L2LN,800,0.05,0.9732
nycdata,L2LN,800,0.1,0.9596
nycdata,L2LN,800,1e-08,1.0
nycdata,max,1000,0.0001,1.0
nycdata,max,1000,0.01,0.9993
nycdata,max,1000,0.05,0.9993
nycdata,max,1000,0.1,0.9621
nycdata,max,1000,1e-08,1.0
nycdata,max,200,0.0001,0.9999
nycdata,max,200,0.01,0.9995
nycdata,max,200,0.05,0.9995
nycdata,max,200,0.1,0.9719
nycdata,max,200,1e-08,1.0
nycdata,max,400,0.0001,1.0
nycdata,max,400,0.01,0.9995
nycdata,max,400,0.05,0.9995
nycdata,max,400,0.1,0.9658
nycdata,max,400,1e-08,1.0
nycdata,max,600,0.0001,1.0
nycdata,max,600,0.01,0.9994
nycdata,max,600,0.05,0.9994
nycdata,max,600,0.1,0.9718
nycdata,max,600,1e-08,1.0
nycdata,max,800,0.0001,1.0
nycdata,max,800,0.01,0.9994
nycdata,max,800,0.05,0.9994
nycdata,max,800,0.1,0.9684
nycdata,max,800,1e-08,1.0
nycdata,mean,1000,0.0001,0.9999
nycdata,mean,1000,0.01,0.9908
nycdata,mean,1000,0.05,0.9746
nycdata,mean,1000,0.1,0.9705
nycdata,mean,1000,1e-08,1.0
nycdata,mean,200,0.0001,0.9999
nycdata,mean,200,0.01,0.9929
nycdata,mean,200,0.05,0.9749
nycdata,mean,200,0.1,0.9679
nycdata,mean,200,1e-08,1.0
nycdata,mean,400,0.0001,0.9999
nycdata,mean,400,0.01,0.992
nycdata,mean,400,0.05,0.9759
nycdata,mean,400,0.1,0.9678
nycdata,mean,400,1e-08,1.0
nycdata,mean,600,0.0001,0.9999
nycdata,mean,600,0.01,0.992
nycdata,mean,600,0.05,0.9757
nycdata,mean,600,0.1,0.9687
nycdata,mean,600,1e-08,1.0
nycdata,mean,800,0.0001,0.9999
nycdata,mean,800,0.01,0.9911
nycdata,mean,800,0.05,0.9728
nycdata,mean,800,0.1,0.9695
nycdata,mean,800,1e-08,1.0
nycdata,minus,1000,0.0001,0.9999
nycdata,minus,1000,0.01,0.9956
nycdata,minus,1000,0.05,0.9821
nycdata,minus,1000,0.1,0.9821
nycdata,minus,1000,1e-08,1.0
nycdata,minus,200,0.0001,1.0
nycdata,minus,200,0.01,0.9954
nycdata,minus,200,0.05,0.979
nycdata,minus,200,0.1,0.979
nycdata,minus,200,1e-08,1.0
nycdata,minus,400,0.0001,0.9999
nycdata,minus,400,0.01,0.9966
nycdata,minus,400,0.05,0.9802
nycdata,minus,400,0.1,0.9802
nycdata,minus,400,1e-08,1.0
nycdata,minus,600,0.0001,0.9999
nycdata,minus,600,0.01,0.9953
nycdata,minus,600,0.05,0.9811
nycdata,minus,600,0.1,0.9811
nycdata,minus,600,1e-08,1.0
nycdata,minus,800,0.0001,0.9999
nycdata,minus,800,0.01,0.9955
nycdata,minus,800,0.05,0.9814
nycdata,minus,800,0.1,0.9814
nycdata,minus,800,1e-08,1.0
nycdata,multi,1000,0.0001,0.9999
nycdata,multi,1000,0.01,0.9942
nycdata,multi,1000,0.05,0.9822
nycdata,multi,1000,0.1,0.962
nycdata,multi,1000,1e-08,1.0
nycdata,multi,200,0.0001,0.9999
nycdata,multi,200,0.01,0.9944
nycdata,multi,200,0.05,0.9808
nycdata,multi,200,0.1,0.9718
nycdata,multi,200,1e-08,1.0
nycdata,multi,400,0.0001,0.9999
nycdata,multi,400,0.01,0.9941
nycdata,multi,400,0.05,0.9782
nycdata,multi,400,0.1,0.9753
nycdata,multi,400,1e-08,1.0
nycdata,multi,600,0.0001,0.9999
nycdata,multi,600,0.01,0.9943
nycdata,multi,600,0.05,0.9785
nycdata,multi,600,0.1,0.9584
nycdata,multi,600,1e-08,1.0
nycdata,multi,800,0.0001,0.9999
nycdata,multi,800,0.01,0.9939
nycdata,multi,800,0.05,0.9802
nycdata,multi,800,0.1,0.9597
nycdata,multi,800,1e-08,1.0
nycdata,plus,1000,0.0001,0.9999
nycdata,plus,1000,0.01,0.993
nycdata,plus,1000,0.05,0.9784
nycdata,plus,1000,0.1,0.9726
nycdata,plus,1000,1e-08,1.0
nycdata,plus,200,0.0001,1.0
nycdata,plus,200,0.01,0.9937
nycdata,plus,200,0.05,0.9754
nycdata,plus,200,0.1,0.9656
nycdata,plus,200,1e-08,1.0
nycdata,plus,400,0.0001,0.9999
nycdata,plus,400,0.01,0.9931
nycdata,plus,400,0.05,0.9791
nycdata,plus,400,0.1,0.9704
nycdata,plus,400,1e-08,1.0
nycdata,plus,600,0.0001,1.0
nycdata,plus,600,0.01,0.9925
nycdata,plus,600,0.05,0.9765
nycdata,plus,600,0.1,0.9701
nycdata,plus,600,1e-08,1.0
nycdata,plus,800,0.0001,0.9999
nycdata,plus,800,0.01,0.9927
nycdata,plus,800,0.05,0.9771
nycdata,plus,800,0.1,0.9711
nycdata,plus,800,1e-08,1.0
nycdata,variance,1000,0.0001,0.9999
nycdata,variance,1000,0.01,0.9965
nycdata,variance,1000,0.05,0.9965
nycdata,variance,1000,0.1,0.9965
nycdata,variance,1000,1e-08,1.0
nycdata,variance,200,0.0001,0.9999
nycdata,variance,200,0.01,0.9945
nycdata,variance,200,0.05,0.9945
nycdata,variance,200,0.1,0.9945
nycdata,variance,200,1e-08,1.0
nycdata,variance,400,0.0001,0.9999
nycdata,variance,400,0.01,0.9951
nycdata,variance,400,0.05,0.9951
nycdata,variance,400,0.1,0.9951
nycdata,variance,400,1e-08,1.0
nycdata,variance,600,0.0001,0.9999
nycdata,variance,600,0.01,0.9952
nycdata,variance,600,0.05,0.9952
nycdata,variance,600,0.1,0.9952
nycdata,variance,600,1e-08,1.0
nycdata,variance,800,0.0001,0.9999
nycdata,variance,800,0.01,0.996
nycdata,variance,800,0.05,0.996
nycdata,variance,800,0.1,0.996
nycdata,variance,800,1e-08,1.0
nycdata,weightsum,1000,0.0001,0.9999
nycdata,weightsum,1000,0.01,0.995
nycdata,weightsum,1000,0.05,0.9901
nycdata,weightsum,1000,0.1,0.9901
nycdata,weightsum,1000,1e-08,1.0
nycdata,weightsum,200,0.0001,0.9999
nycdata,weightsum,200,0.01,0.9931
nycdata,weightsum,200,0.05,0.984
nycdata,weightsum,200,0.1,0.984
nycdata,weightsum,200,1e-08,1.0
nycdata,weightsum,400,0.0001,0.9999
nycdata,weightsum,400,0.01,0.9939
nycdata,weightsum,400,0.05,0.9863
nycdata,weightsum,400,0.1,0.9863
nycdata,weightsum,400,1e-08,1.0
nycdata,weightsum,600,0.0001,0.9999
nycdata,weightsum,600,0.01,0.9927
nycdata,weightsum,600,0.05,0.9878
nycdata,weightsum,600,0.1,0.9878
nycdata,weightsum,600,1e-08,1.0
nycdata,weightsum,800,0.0001,0.9999
nycdata,weightsum,800,0.01,0.9941
nycdata,weightsum,800,0.05,0.9888
nycdata,weightsum,800,0.1,0.9888
nycdata,weightsum,800,1e-08,1.0
sensordata,boxcox0,1000,0.0001,1.0
sensordata,boxcox0,1000,0.01,1.0
