data,interaction-type,columns,errorBound,function,width,start,end,iterations,sqltime,memeoryuse,error,nodecount,ssim
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.05,variance,800,70999201,212997599,1,0.278,1774748,0.0,58205,1.0
nycsecond,interaction-resizedown,7I9I1I2I3I4I5I6I8I10I11,0.05,variance,750,70999201,212997599,1,0.257,1774788,0.0,55465,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.05,mean,750,70999201,212997599,1,0.246,1774796,0.0284,55190,0.9782
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.05,variance,750,70999201,212997599,1,0.255,1774796,0.0,55256,1.0
nycsecond,interaction-resizeup,7I9I1I2I3I4I5I6I8I10I11,0.05,variance,800,70999201,212997599,1,0.282,1774796,0.0,56849,1.0
nycsecond,interaction-resizedown,7I9I1I2I3I4I5I6I8I10I11,0.05,variance,750,70999201,212997599,1,0.258,1774796,0.0,55527,1.0
nycsecond,interaction-change-func,7,0.05,boxcox0,750,70999201,212997599,0,0.024,1774796,0.0,28925,1.0
nycsecond,interaction-change-column,10,0.05,boxcox0,750,70999201,212997599,0,0.031,1774796,0.0,28925,1.0
nycsecond,interaction-change-column,11,0.05,boxcox0,750,70999201,212997599,0,0.024,1774796,0.0,28925,1.0
nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0.05,max,750,70999201,212997599,0,0.186,1774796,0.0019,28925,0.9986
