index,method,data,interaction-type,columns,nodecount,errorbound,function,width,start,end,iterations,sqltime,memeoryuse
45,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,weightsum,750,1,283996799,0,7.998,14386824
46,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,max,750,1,283996799,0,1.276,15242920
47,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9,0,0.05,multi,750,1,283996799,0,0.781,16064796
48,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,L2,750,1,283996799,0,3.488,16944436
49,DUCK-F-AM4-THREAD-16,nycsecond,interaction-zoomup,7I9I1I2I3I4I5I6I8I10I11,0,0.05,L2,750,70999201,212997599,0,1.755,17395644
50,DUCK-F-AM4-THREAD-16,nycsecond,interaction-resizeup,7I9I1I2I3I4I5I6I8I10I11,0,0.05,L2,800,70999201,212997599,0,1.814,17848476
51,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,variance,800,70999201,212997599,0,38.649,18337136
52,DUCK-F-AM4-THREAD-16,nycsecond,interaction-resizedown,7I9I1I2I3I4I5I6I8I10I11,0,0.05,variance,750,70999201,212997599,0,39.118,18786420
53,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,mean,750,70999201,212997599,0,5.037,1541416
54,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,variance,750,70999201,212997599,0,38.756,2006460
55,DUCK-F-AM4-THREAD-16,nycsecond,interaction-resizeup,7I9I1I2I3I4I5I6I8I10I11,0,0.05,variance,800,70999201,212997599,0,38.664,2446504
56,DUCK-F-AM4-THREAD-16,nycsecond,interaction-resizedown,7I9I1I2I3I4I5I6I8I10I11,0,0.05,variance,750,70999201,212997599,0,38.21,2882328
57,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7,0,0.05,boxcox0,750,70999201,212997599,0,0.79,3247868
58,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,10,0,0.05,boxcox0,750,70999201,212997599,0,1.001,3232448
59,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-column,11,0,0.05,boxcox0,750,70999201,212997599,0,0.827,3594888
60,DUCK-F-AM4-THREAD-16,nycsecond,interaction-change-func,7I9I1I2I3I4I5I6I8I10I11,0,0.05,max,750,70999201,212997599,0,0.699,4037116
61,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-start,1I2,0,0.05,plus,600,499999999,999999999,0,3.548,7720728
62,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2,0,0.05,L22,600,499999999,999999999,0,4.169,11395204
63,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1,0,0.05,func1,600,499999999,999999999,0,3.944,10753492
64,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-zoomup,1,0,0.05,func1,600,624999999,874999999,0,2.167,12206872
65,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,max,600,624999999,874999999,0,2.442,11222292
66,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2,0,0.05,minus,600,624999999,874999999,0,1.877,12979908
67,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2,0,0.05,L22,600,624999999,874999999,0,2.472,12669380
68,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,4I3,0,0.05,L22,600,624999999,874999999,0,2.477,12725264
69,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,variance,600,624999999,874999999,0,3.994,13044504
70,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2,0,0.05,minus,600,624999999,874999999,0,1.959,12974024
71,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,5I1,0,0.05,minus,600,624999999,874999999,0,1.944,14675720
72,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1,0,0.05,boxcox0,600,624999999,874999999,0,2.068,14370312
73,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-resizeup,1,0,0.05,boxcox0,650,624999999,874999999,0,2.127,14117172
74,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,5,0,0.05,boxcox0,650,624999999,874999999,0,2.102,14060280
75,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-paningleft,5,0,0.05,boxcox0,650,500220594,750220594,0,2.142,13887564
76,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,max,650,500220594,750220594,0,2.669,15916788
77,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,L2,650,500220594,750220594,0,3.509,16654992
78,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0,0.05,L2,600,500220594,750220594,0,3.215,18682340
79,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2,0,0.05,minus,600,500220594,750220594,0,1.989,18354836
80,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,4I2,0,0.05,minus,600,500220594,750220594,0,2.011,20200392
81,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,2I5,0,0.05,minus,600,500220594,750220594,0,2.028,20069240
82,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1,0,0.05,boxcox0,600,500220594,750220594,0,2.275,19649600
83,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-resizedown,1,0,0.05,boxcox0,550,500220594,750220594,0,2.229,19491848
84,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,3,0,0.05,boxcox0,550,500220594,750220594,0,2.051,19489652
85,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,L2,550,500220594,750220594,0,3.367,20091716
86,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-paningright,1I2I3I4I5,0,0.05,L2,550,579031421,829031421,0,3.278,20754608
87,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2,0,0.05,devide,550,579031421,829031421,0,2.054,20428016
88,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,1I3,0,0.05,devide,550,579031421,829031421,0,1.965,20051736
89,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,4I2,0,0.05,devide,550,579031421,829031421,0,2.08,20222776
90,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1,0,0.05,func1,550,579031421,829031421,0,2.32,19929944
91,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,3,0,0.05,func1,550,579031421,829031421,0,2.358,19490100
92,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,weightsum,550,579031421,829031421,0,2.549,20166628
93,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-zoomdown,1I2I3I4I5,0,0.05,weightsum,550,499999999,999999999,0,4.491,22957984
94,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-paningleft,1I2I3I4I5,0,0.05,weightsum,550,426899561,926899561,0,4.086,25079916
95,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-zoomdown,1I2I3I4I5,0,0.05,weightsum,550,0,999999999,0,7.684,29341844
96,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,mean,550,0,999999999,0,7.59,33637112
97,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0,0.05,mean,500,0,999999999,0,7.563,33646232
98,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2,0,0.05,plus,500,0,999999999,0,6.421,32607048
99,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,weightsum,500,0,999999999,0,7.686,32621492
100,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2,0,0.05,multi,500,0,999999999,0,6.258,32625280
101,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,2I3,0,0.05,multi,500,0,999999999,0,6.289,31549168
102,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,max,500,0,999999999,0,8.573,32625332
103,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,weightsum,500,0,999999999,0,7.539,33693412
104,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-zoomup,1I2I3I4I5,0,0.05,weightsum,500,250000000,749999999,0,4.15,29231000
105,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-paningleft,1I2I3I4I5,0,0.05,weightsum,500,158235950,658235949,0,3.861,24969240
