method,data,interaction-type,columns,errorBound,function,width,start,end,iterations,sqltime,memeoryuse,error,nodecount,ssim
ours-cpp-16,synthetic1b5v,interaction-zoomup,1I2I3I4I5,0.05,weightsum,500,250000000,749999999,1,0.188,5307000,0.0287,58759,0.9866
ours-cpp-16,synthetic1b5v,interaction-paningleft,1I2I3I4I5,0.05,weightsum,500,158235950,658235949,1,0.153,5307000,0.0261,52204,0.9883
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.05,L2LN,500,158235950,658235949,1,0.135,5307000,0.022,53058,0.9947
ours-cpp-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0.05,L2LN,450,158235950,658235949,1,0.136,5307000,0.0219,48628,0.9941
ours-cpp-16,synthetic1b5v,interaction-resizeup,1I2I3I4I5,0.05,L2LN,500,158235950,658235949,1,0.133,5307000,0.022,52953,0.9947
ours-cpp-16,synthetic1b5v,interaction-change-func,1,0.05,func1,500,158235950,658235949,0,0.028,5307000,0.0,21963,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.05,L2LN,500,158235950,658235949,1,0.132,5307000,0.022,52577,0.9947
ours-cpp-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0.05,L2LN,450,158235950,658235949,1,0.128,5307000,0.0219,48530,0.9941
ours-cpp-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0.05,L2LN,400,158235950,658235949,1,0.119,5307000,0.022,43340,0.9934
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.05,mean,400,158235950,658235949,1,0.11,5307000,0.0448,41876,0.9839
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.05,plus,400,158235950,658235949,1,0.044,5307000,0.027,42358,0.9844
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.05,max,400,158235950,658235949,0,0.09,5307000,0.0148,17809,0.988
ours-cpp-16,synthetic1b5v,interaction-zoomdown,1I2I3I4I5,0.05,max,400,1,999999999,0,0.116,5307000,0.0095,17801,0.9908
ours-cpp-16,synthetic1b5v,interaction-resizeup,1I2I3I4I5,0.05,max,450,1,999999999,0,0.11,5307000,0.0092,20713,0.991
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.05,L2,450,1,999999999,0,0.088,5307000,0.0361,20713,0.989
ours-cpp-16,synthetic1b5v,interaction-change-func,1,0.05,boxcox0,450,1,999999999,0,0.02,5307000,0.0,20713,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,4,0.05,boxcox0,450,1,999999999,0,0.022,5307000,0.0,20713,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,5,0.05,boxcox0,450,1,999999999,0,0.021,5307000,0.0,20713,1.0

ours-cpp-16,synthetic1b5v,interaction-start,1I2,0.0,plus,600,499999999,999999999,15,0.123,5405656,0.0,136757,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.0,L22,600,499999999,999999999,13,0.098,5405656,0.0,118221,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1,0.0,func1,600,499999999,999999999,0,0.032,5405656,0.0,27415,1.0
ours-cpp-16,synthetic1b5v,interaction-zoomup,1,0.0,func1,600,624999999,874999999,0,0.033,5405656,0.0,25821,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,max,600,624999999,874999999,3,0.165,5405656,0.0,43891,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.0,minus,600,624999999,874999999,12,0.09,5405656,0.0,124991,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.0,L22,600,624999999,874999999,10,0.083,5405656,0.0,104889,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,4I3,0.0,L22,600,624999999,874999999,5,0.074,5405656,0.0,68553,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,variance,600,624999999,874999999,48,0.335,5405696,0.0,202472,0.9995
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.0,minus,600,624999999,874999999,12,0.09,5405696,0.0,123806,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,5I1,0.0,minus,600,624999999,874999999,14,0.09,5405788,0.0,126140,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1,0.0,boxcox0,600,624999999,874999999,0,0.03,5405788,0.0,25821,1.0
ours-cpp-16,synthetic1b5v,interaction-resizeup,1,0.0,boxcox0,650,624999999,874999999,0,0.032,5405788,0.0,26921,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,5,0.0,boxcox0,650,624999999,874999999,0,0.032,5405788,0.0,26921,1.0
ours-cpp-16,synthetic1b5v,interaction-paningleft,5,0.0,boxcox0,650,500220594,750220594,0,0.033,5405788,0.0,26601,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,max,650,500220594,750220594,3,0.15,5405788,0.0,46278,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,L2,650,500220594,750220594,23,0.34,5405788,0.0,169463,1.0
ours-cpp-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0.0,L2,600,500220594,750220594,26,0.243,5405788,0.0,155805,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.0,minus,600,500220594,750220594,19,0.091,5405788,0.0,122944,1.0
