experiment,table,function,errorbound,width,time,sqltime,ssim,memory(GB)
OM3,synthetic128m,mean,0,200,0.666,0.04,0.9203,0.9568977355957031
OM3,synthetic128m,mean,0,400,0.83,0.081,0.9378,0.9577713012695312
OM3,synthetic128m,mean,0,600,0.925,0.132,0.9479,0.8915748596191406
OM3,synthetic128m,mean,0,800,1.068,0.165,0.9533,0.9619560241699219
OM3,synthetic128m,minus,0,1000,0.593,0.175,0.9574,0.5850257873535156
OM3,synthetic128m,minus,0,1200,0.616,0.2,0.9626,0.5862045288085938
OM3,synthetic128m,minus,0,200,0.309,0.073,0.936,0.5818901062011719
OM3,synthetic128m,minus,0,400,0.366,0.07,0.9456,0.5821380615234375
OM3,synthetic128m,minus,0,600,0.461,0.132,0.9469,0.5163421630859375
OM3,synthetic128m,minus,0,800,0.522,0.146,0.954,0.5839920043945312
OM3,synthetic128m,multi,0,1000,0.584,0.173,0.9726,0.5850257873535156
OM3,synthetic128m,multi,0,1200,0.645,0.203,0.9742,0.5862045288085938
OM3,synthetic128m,multi,0,200,0.306,0.036,0.9529,0.5818901062011719
OM3,synthetic128m,multi,0,400,0.365,0.07,0.9599,0.5821380615234375
OM3,synthetic128m,multi,0,600,0.453,0.128,0.9689,0.5163421630859375
OM3,synthetic128m,multi,0,800,0.521,0.183,0.9703,0.5839920043945312
OM3,synthetic128m,plus,0,1000,0.593,0.174,0.9644,0.5850257873535156
OM3,synthetic128m,plus,0,1200,0.646,0.205,0.964,0.5862045288085938
OM3,synthetic128m,plus,0,200,0.308,0.055,0.9372,0.5818901062011719
OM3,synthetic128m,plus,0,400,0.364,0.07,0.9478,0.5821380615234375
OM3,synthetic128m,plus,0,600,0.452,0.128,0.957,0.5163345336914062
OM3,synthetic128m,plus,0,800,0.516,0.143,0.9583,0.5837745666503906
OM3,synthetic128m,variance,0,1000,1.17,0.181,0.9475,0.9595565795898438
OM3,synthetic128m,variance,0,1200,1.235,0.212,0.9512,0.9630508422851562
OM3,synthetic128m,variance,0,200,0.726,0.05,0.902,0.9568977355957031
OM3,synthetic128m,variance,0,400,0.839,0.088,0.9235,0.9577713012695312
OM3,synthetic128m,variance,0,600,0.925,0.13,0.9349,0.8915748596191406
OM3,synthetic128m,variance,0,800,1.066,0.161,0.9421,0.9578437805175781
OM3,synthetic128m,weightsum,0,1000,1.161,0.18,0.9636,0.9595565795898438
OM3,synthetic128m,weightsum,0,1200,1.245,0.298,0.9656,0.9630508422851562
OM3,synthetic128m,weightsum,0,200,0.521,0.035,0.9343,0.9568977355957031
OM3,synthetic128m,weightsum,0,400,0.59,0.069,0.949,0.9577713012695312
OM3,synthetic128m,weightsum,0,600,0.72,0.157,0.9561,0.8916549682617188
OM3,synthetic128m,weightsum,0,800,0.986,0.165,0.9603,0.9621734619140625
OM3,synthetic16m,boxcox0,0,1000,0.2,0.109,1.0,0.37848663330078125
OM3,synthetic16m,boxcox0,0,1200,0.227,0.121,1.0,0.3796119689941406
OM3,synthetic16m,boxcox0,0,200,0.051,0.018,1.0,0.3630256652832031
OM3,synthetic16m,boxcox0,0,400,0.094,0.05,1.0,0.36325836181640625
OM3,synthetic16m,boxcox0,0,600,0.114,0.061,1.0,0.29636383056640625
OM3,synthetic16m,boxcox0,0,800,0.166,0.092,1.0,0.3798332214355469
OM3,synthetic16m,devide,0,1000,0.245,0.111,0.9977,0.4281578063964844
OM3,synthetic16m,devide,0,1200,0.327,0.132,0.9981,0.395660400390625
OM3,synthetic16m,devide,0,200,0.056,0.025,0.9928,0.39322662353515625
OM3,synthetic16m,devide,0,400,0.089,0.049,0.9958,0.3624763488769531
OM3,synthetic16m,devide,0,600,0.15,0.073,0.9968,0.3290863037109375
OM3,synthetic16m,devide,0,800,0.26,0.1,0.9973,0.426239013671875
OM3,synthetic16m,func1,0,1000,0.169,0.103,1.0,0.388427734375
OM3,synthetic16m,func1,0,1200,0.303,0.127,1.0,0.34741973876953125
OM3,synthetic16m,func1,0,200,0.051,0.038,1.0,0.4127464294433594
OM3,synthetic16m,func1,0,400,0.087,0.059,1.0,0.412994384765625
OM3,synthetic16m,func1,0,600,0.144,0.078,1.0,0.28017425537109375
OM3,synthetic16m,func1,0,800,0.157,0.087,1.0,0.38791656494140625
OM3,synthetic16m,L2,0,1000,0.459,0.125,0.9712,0.4600944519042969
OM3,synthetic16m,L2,0,1200,0.546,0.142,0.9735,0.49240875244140625
OM3,synthetic16m,L2,0,200,0.107,0.024,0.9461,0.48693084716796875
OM3,synthetic16m,L2,0,400,0.189,0.057,0.959,0.48719024658203125
OM3,synthetic16m,L2,0,600,0.257,0.08,0.9653,0.4211921691894531
OM3,synthetic16m,L2,0,800,0.385,0.112,0.9688,0.4899406433105469
OM3,synthetic16m,L22,0,1000,0.243,0.111,0.8626,0.430084228515625
OM3,synthetic16m,L22,0,1200,0.34,0.132,0.8647,0.3969573974609375
OM3,synthetic16m,L22,0,200,0.08,0.021,0.845,0.5182151794433594
OM3,synthetic16m,L22,0,400,0.106,0.06,0.8516,0.3626060485839844
OM3,synthetic16m,L22,0,600,0.163,0.08,0.8564,0.3280906677246094
OM3,synthetic16m,L22,0,800,0.248,0.099,0.8594,0.428131103515625
OM3,synthetic16m,L2LN,0,1000,0.482,0.127,0.971,0.4905548095703125
OM3,synthetic16m,L2LN,0,1200,0.561,0.138,0.9706,0.4914512634277344
OM3,synthetic16m,L2LN,0,200,0.128,0.028,0.9645,0.4411048889160156
OM3,synthetic16m,L2LN,0,400,0.216,0.058,0.969,0.48819732666015625
OM3,synthetic16m,L2LN,0,600,0.267,0.079,0.9689,0.37380218505859375
OM3,synthetic16m,L2LN,0,800,0.389,0.108,0.9693,0.4749488830566406
OM3,synthetic16m,max,0,1000,0.535,0.128,0.9984,0.4731903076171875
OM3,synthetic16m,max,0,1200,0.553,0.138,0.9985,0.4903831481933594
OM3,synthetic16m,max,0,200,0.147,0.027,0.9949,0.5493621826171875
OM3,synthetic16m,max,0,400,0.206,0.061,0.9969,0.4252052307128906
OM3,synthetic16m,max,0,600,0.28,0.079,0.9977,0.39178466796875
OM3,synthetic16m,max,0,800,0.363,0.111,0.9983,0.427703857421875
OM3,synthetic16m,mean,0,1000,0.453,0.126,0.9635,0.4919586181640625
OM3,synthetic16m,mean,0,1200,0.553,0.137,0.9665,0.48899078369140625
OM3,synthetic16m,mean,0,200,0.128,0.028,0.9314,0.43997955322265625
OM3,synthetic16m,mean,0,400,0.191,0.058,0.9477,0.4714775085449219
OM3,synthetic16m,mean,0,600,0.261,0.081,0.9564,0.3899879455566406
OM3,synthetic16m,mean,0,800,0.37,0.109,0.9602,0.48934173583984375
OM3,synthetic16m,minus,0,1000,0.237,0.11,0.9548,0.42815399169921875
OM3,synthetic16m,minus,0,1200,0.338,0.13,0.9609,0.3958282470703125
OM3,synthetic16m,minus,0,200,0.059,0.031,0.9342,0.3619728088378906
OM3,synthetic16m,minus,0,400,0.105,0.047,0.9448,0.3936004638671875
OM3,synthetic16m,minus,0,600,0.135,0.077,0.9447,0.32909393310546875
OM3,synthetic16m,minus,0,800,0.256,0.098,0.9544,0.4262351989746094
OM3,synthetic16m,multi,0,1000,0.317,0.12,0.9607,0.4272346496582031
OM3,synthetic16m,multi,0,1200,0.293,0.122,0.9547,0.42949676513671875
OM3,synthetic16m,multi,0,200,0.053,0.026,0.9242,0.3958282470703125
OM3,synthetic16m,multi,0,400,0.134,0.057,0.9349,0.42456817626953125
OM3,synthetic16m,multi,0,600,0.137,0.064,0.9448,0.3274879455566406
OM3,synthetic16m,multi,0,800,0.221,0.093,0.9411,0.39617919921875
OM3,synthetic16m,plus,0,1000,0.252,0.114,0.9503,0.42893218994140625
OM3,synthetic16m,plus,0,1200,0.338,0.127,0.9553,0.3956565856933594
OM3,synthetic16m,plus,0,200,0.081,0.031,0.9004,0.3931007385253906
OM3,synthetic16m,plus,0,400,0.093,0.048,0.9247,0.3936004638671875
OM3,synthetic16m,plus,0,600,0.138,0.073,0.9352,0.2963676452636719
OM3,synthetic16m,plus,0,800,0.242,0.097,0.9455,0.4270133972167969
OM3,synthetic16m,variance,0,1000,0.463,0.124,0.9488,0.4600067138671875
OM3,synthetic16m,variance,0,1200,0.556,0.144,0.9529,0.4923210144042969
OM3,synthetic16m,variance,0,200,0.102,0.024,0.9091,0.48685455322265625
OM3,synthetic16m,variance,0,400,0.181,0.053,0.9265,0.4871025085449219
OM3,synthetic16m,variance,0,600,0.259,0.081,0.9385,0.42067718505859375
OM3,synthetic16m,variance,0,800,0.383,0.109,0.9438,0.4898529052734375
OM3,synthetic16m,weightsum,0,1000,0.472,0.131,0.971,0.49167633056640625
OM3,synthetic16m,weightsum,0,1200,0.531,0.141,0.9731,0.49379730224609375
OM3,synthetic16m,weightsum,0,200,0.146,0.026,0.948,0.5494499206542969
OM3,synthetic16m,weightsum,0,400,0.209,0.054,0.9586,0.409210205078125
OM3,synthetic16m,weightsum,0,600,0.289,0.081,0.9647,0.38954925537109375
OM3,synthetic16m,weightsum,0,800,0.38,0.11,0.9683,0.4899635314941406
OM3,synthetic1b,boxcox0,0,1000,1.361,0.376,0.9999,1.3353919982910156
OM3,synthetic1b,boxcox0,0,1200,1.376,0.395,0.9999,1.3354110717773438
OM3,synthetic1b,boxcox0,0,200,1.035,0.053,1.0,1.3325080871582031
OM3,synthetic1b,boxcox0,0,400,1.036,0.09,1.0,1.3329238891601562
OM3,synthetic1b,boxcox0,0,600,1.112,0.16,1.0,1.3782577514648438
OM3,synthetic1b,boxcox0,0,800,1.214,0.212,0.9999,1.3341598510742188
OM3,synthetic1b,devide,0,1000,2.218,0.212,0.9991,2.338245391845703
OM3,synthetic1b,devide,0,1200,2.336,0.29,0.9994,2.338031768798828
OM3,synthetic1b,devide,0,200,1.799,0.059,0.9967,2.33245849609375
OM3,synthetic1b,devide,0,400,1.908,0.096,0.9979,2.332427978515625
OM3,synthetic1b,devide,0,600,2.0,0.149,0.9987,2.3791351318359375
OM3,synthetic1b,devide,0,800,2.172,0.353,0.9988,2.336109161376953
OM3,synthetic1b,func1,0,1000,1.322,0.355,1.0,1.3353919982910156
OM3,synthetic1b,func1,0,1200,1.33,0.359,1.0,1.3354110717773438
OM3,synthetic1b,func1,0,200,1.134,0.083,1.0,1.3325157165527344
OM3,synthetic1b,func1,0,400,1.101,0.102,1.0,1.3329238891601562
OM3,synthetic1b,func1,0,600,1.091,0.153,1.0,1.3782577514648438
OM3,synthetic1b,func1,0,800,1.197,0.205,1.0,1.3341598510742188
OM3,synthetic1b,L2,0,1000,5.154,0.593,0.9759,5.339805603027344
OM3,synthetic1b,L2,0,1200,4.931,0.295,0.9777,5.3381805419921875
OM3,synthetic1b,L2,0,200,4.445,0.074,0.9574,5.332649230957031
OM3,synthetic1b,L2,0,400,4.477,0.112,0.9671,5.3340606689453125
OM3,synthetic1b,L2,0,600,4.567,0.159,0.9708,5.382667541503906
OM3,synthetic1b,L2,0,800,4.879,0.234,0.974,5.341339111328125
OM3,synthetic1b,L22,0,1000,1.539,0.329,0.8741,2.338245391845703
OM3,synthetic1b,L22,0,1200,1.545,0.238,0.8759,2.3369483947753906
OM3,synthetic1b,L22,0,200,1.326,0.315,0.8524,2.33245849609375
OM3,synthetic1b,L22,0,400,1.169,0.079,0.8625,2.3342208862304688
OM3,synthetic1b,L22,0,600,1.304,0.128,0.8677,2.3791427612304688
OM3,synthetic1b,L22,0,800,1.423,0.171,0.8706,2.336109161376953
OM3,synthetic1b,L2LN,0,1000,3.195,0.338,0.9807,5.3401947021484375
OM3,synthetic1b,L2LN,0,1200,3.2,0.375,0.9823,5.3407135009765625
OM3,synthetic1b,L2LN,0,200,2.435,0.048,0.9648,5.332561492919922
OM3,synthetic1b,L2LN,0,400,2.768,0.091,0.9732,5.3340606689453125
OM3,synthetic1b,L2LN,0,600,2.925,0.141,0.9768,5.380214691162109
OM3,synthetic1b,L2LN,0,800,3.027,0.171,0.9796,5.337066650390625
OM3,synthetic1b,max,0,1000,3.429,0.607,0.9994,5.342262268066406
OM3,synthetic1b,max,0,1200,3.54,0.238,0.9994,5.340602874755859
OM3,synthetic1b,max,0,200,2.74,0.229,0.998,5.332492828369141
OM3,synthetic1b,max,0,400,2.879,0.091,0.9987,5.3340606689453125
OM3,synthetic1b,max,0,600,3.987,0.138,0.9991,5.381549835205078
OM3,synthetic1b,max,0,800,3.224,0.191,0.9993,5.338771820068359
OM3,synthetic1b,mean,0,1000,3.318,0.511,0.9639,5.341007232666016
OM3,synthetic1b,mean,0,1200,5.471,0.303,0.9669,5.342918395996094
OM3,synthetic1b,mean,0,200,4.162,0.216,0.9321,5.332561492919922
OM3,synthetic1b,mean,0,400,4.468,0.11,0.9493,5.333889007568359
OM3,synthetic1b,mean,0,600,2.871,0.129,0.9556,5.381542205810547
OM3,synthetic1b,mean,0,800,3.075,0.176,0.9603,5.338375091552734
OM3,synthetic1b,minus,0,1000,2.346,0.462,0.9533,2.338245391845703
OM3,synthetic1b,minus,0,1200,2.323,0.28,0.9561,2.3369483947753906
OM3,synthetic1b,minus,0,200,1.842,0.264,0.9173,2.3323326110839844
OM3,synthetic1b,minus,0,400,1.905,0.105,0.937,2.334186553955078
OM3,synthetic1b,minus,0,600,2.0,0.154,0.9451,2.3791351318359375
OM3,synthetic1b,minus,0,800,2.177,0.213,0.9493,2.336109161376953
OM3,synthetic1b,multi,0,1000,2.39,0.25,0.9382,2.338245391845703
OM3,synthetic1b,multi,0,1200,2.331,0.29,0.9524,2.3369483947753906
OM3,synthetic1b,multi,0,200,1.747,0.051,0.93,2.3323326110839844
OM3,synthetic1b,multi,0,400,1.93,0.104,0.9348,2.334186553955078
OM3,synthetic1b,multi,0,600,2.009,0.153,0.9368,2.3791351318359375
OM3,synthetic1b,multi,0,800,1.512,0.293,0.9374,2.3359375
OM3,synthetic1b,plus,0,1000,2.266,0.245,0.9533,2.338245391845703
OM3,synthetic1b,plus,0,1200,2.291,0.272,0.958,2.3369483947753906
OM3,synthetic1b,plus,0,200,1.857,0.142,0.9199,2.3323326110839844
OM3,synthetic1b,plus,0,400,1.931,0.093,0.9377,2.3342208862304688
OM3,synthetic1b,plus,0,600,2.119,0.15,0.9467,2.3791351318359375
OM3,synthetic1b,plus,0,800,2.194,0.208,0.9498,2.336109161376953
OM3,synthetic1b,variance,0,1000,5.115,0.532,0.9555,5.341579437255859
OM3,synthetic1b,variance,0,1200,3.716,0.463,0.9591,5.3407135009765625
OM3,synthetic1b,variance,0,200,4.52,0.563,0.9269,5.332561492919922
OM3,synthetic1b,variance,0,400,4.511,0.112,0.9392,5.333889007568359
OM3,synthetic1b,variance,0,600,4.633,0.158,0.9466,5.379951477050781
OM3,synthetic1b,variance,0,800,4.866,0.23,0.953,5.33880615234375
OM3,synthetic1b,weightsum,0,1000,3.257,0.451,0.9541,5.340831756591797
OM3,synthetic1b,weightsum,0,1200,3.219,0.368,0.9554,5.339023590087891
OM3,synthetic1b,weightsum,0,200,4.232,0.196,0.9244,5.332561492919922
OM3,synthetic1b,weightsum,0,400,4.366,0.106,0.9411,5.335781097412109
OM3,synthetic1b,weightsum,0,600,2.862,0.134,0.9479,5.380130767822266
OM3,synthetic1b,weightsum,0,800,3.051,0.172,0.9518,5.336162567138672
OM3,synthetic1m,boxcox0,0,1000,0.136,0.076,1.0,0.18207550048828125
OM3,synthetic1m,boxcox0,0,1200,0.145,0.074,1.0,0.18428802490234375
OM3,synthetic1m,boxcox0,0,200,0.039,0.019,1.0,0.1788330078125
OM3,synthetic1m,boxcox0,0,400,0.051,0.033,1.0,0.17938995361328125
OM3,synthetic1m,boxcox0,0,600,0.076,0.051,1.0,0.14162826538085938
OM3,synthetic1m,boxcox0,0,800,0.114,0.059,1.0,0.18090438842773438
OM3,synthetic1m,devide,0,1000,0.192,0.092,0.9976,0.22500991821289062
OM3,synthetic1m,devide,0,1200,0.207,0.096,0.9978,0.2270660400390625
OM3,synthetic1m,devide,0,200,0.034,0.018,0.9905,0.2261199951171875
OM3,synthetic1m,devide,0,400,0.075,0.038,0.995,0.22633743286132812
OM3,synthetic1m,devide,0,600,0.102,0.052,0.9965,0.18731689453125
OM3,synthetic1m,devide,0,800,0.148,0.059,0.9969,0.2237548828125
OM3,synthetic1m,func1,0,1000,0.151,0.076,1.0,0.1628265380859375
OM3,synthetic1m,func1,0,1200,0.149,0.07,1.0,0.18210983276367188
OM3,synthetic1m,func1,0,200,0.064,0.033,1.0,0.11193466186523438
OM3,synthetic1m,func1,0,400,0.1,0.042,1.0,0.12412261962890625
OM3,synthetic1m,func1,0,600,0.107,0.057,1.0,0.12546539306640625
OM3,synthetic1m,func1,0,800,0.126,0.063,1.0,0.15345382690429688
OM3,synthetic1m,L2,0,1000,0.313,0.089,0.9585,0.382293701171875
OM3,synthetic1m,L2,0,1200,0.365,0.088,0.9611,0.3970146179199219
OM3,synthetic1m,L2,0,200,0.06,0.02,0.9213,0.31266021728515625
OM3,synthetic1m,L2,0,400,0.119,0.045,0.9389,0.3224830627441406
OM3,synthetic1m,L2,0,600,0.181,0.066,0.9487,0.22740936279296875
OM3,synthetic1m,L2,0,800,0.242,0.081,0.954,0.3425331115722656
OM3,synthetic1m,L22,0,1000,0.175,0.083,0.894,0.3625030517578125
OM3,synthetic1m,L22,0,1200,0.172,0.079,0.896,0.36823272705078125
OM3,synthetic1m,L22,0,200,0.036,0.015,0.8789,0.3529319763183594
OM3,synthetic1m,L22,0,400,0.069,0.041,0.8869,0.3574333190917969
OM3,synthetic1m,L22,0,600,0.107,0.061,0.8909,0.215423583984375
OM3,synthetic1m,L22,0,800,0.172,0.064,0.8929,0.35808563232421875
OM3,synthetic1m,L2LN,0,1000,0.331,0.087,0.97,0.3589324951171875
OM3,synthetic1m,L2LN,0,1200,0.359,0.097,0.971,0.3625602722167969
OM3,synthetic1m,L2LN,0,200,0.074,0.028,0.9433,0.3705902099609375
OM3,synthetic1m,L2LN,0,400,0.133,0.048,0.958,0.3712577819824219
OM3,synthetic1m,L2LN,0,600,0.18,0.065,0.9652,0.21682357788085938
OM3,synthetic1m,L2LN,0,800,0.228,0.089,0.9686,0.3467254638671875
OM3,synthetic1m,max,0,1000,0.316,0.085,0.9939,0.31444549560546875
OM3,synthetic1m,max,0,1200,0.357,0.094,0.994,0.31266021728515625
OM3,synthetic1m,max,0,200,0.067,0.026,0.9897,0.3131828308105469
OM3,synthetic1m,max,0,400,0.134,0.052,0.9922,0.34270477294921875
OM3,synthetic1m,max,0,600,0.196,0.074,0.9929,0.21202850341796875
OM3,synthetic1m,max,0,800,0.233,0.086,0.9934,0.3501243591308594
OM3,synthetic1m,mean,0,1000,0.335,0.11,0.9509,0.23006057739257812
OM3,synthetic1m,mean,0,1200,0.387,0.112,0.9542,0.2977409362792969
OM3,synthetic1m,mean,0,200,0.107,0.031,0.9057,0.227386474609375
OM3,synthetic1m,mean,0,400,0.152,0.05,0.9284,0.22760391235351562
OM3,synthetic1m,mean,0,600,0.225,0.067,0.9381,0.1927337646484375
OM3,synthetic1m,mean,0,800,0.269,0.084,0.944,0.23826980590820312
OM3,synthetic1m,minus,0,1000,0.186,0.081,0.9565,0.20735549926757812
OM3,synthetic1m,minus,0,1200,0.187,0.08,0.9602,0.21084976196289062
OM3,synthetic1m,minus,0,200,0.036,0.018,0.9244,0.21137237548828125
OM3,synthetic1m,minus,0,400,0.077,0.036,0.9404,0.21175765991210938
OM3,synthetic1m,minus,0,600,0.103,0.054,0.9475,0.16734695434570312
OM3,synthetic1m,minus,0,800,0.139,0.063,0.9539,0.20454025268554688
OM3,synthetic1m,multi,0,1000,0.202,0.074,0.9771,0.22367477416992188
OM3,synthetic1m,multi,0,1200,0.197,0.084,0.9783,0.2261199951171875
OM3,synthetic1m,multi,0,200,0.036,0.021,0.9589,0.21084976196289062
OM3,synthetic1m,multi,0,400,0.076,0.037,0.9658,0.21107101440429688
OM3,synthetic1m,multi,0,600,0.104,0.054,0.9706,0.1847686767578125
OM3,synthetic1m,multi,0,800,0.158,0.064,0.9748,0.2144317626953125
OM3,synthetic1m,plus,0,1000,0.181,0.088,0.965,0.20921707153320312
OM3,synthetic1m,plus,0,1200,0.191,0.08,0.9677,0.21137237548828125
OM3,synthetic1m,plus,0,200,0.045,0.021,0.9372,0.18410491943359375
OM3,synthetic1m,plus,0,400,0.077,0.043,0.9478,0.1845703125
OM3,synthetic1m,plus,0,600,0.098,0.051,0.9551,0.15479660034179688
OM3,synthetic1m,plus,0,800,0.141,0.067,0.9621,0.19945144653320312
OM3,synthetic1m,variance,0,1000,0.305,0.094,0.9183,0.2988853454589844
OM3,synthetic1m,variance,0,1200,0.369,0.095,0.925,0.3032722473144531
OM3,synthetic1m,variance,0,200,0.087,0.023,0.8676,0.3030052185058594
OM3,synthetic1m,variance,0,400,0.13,0.051,0.8897,0.3042640686035156
OM3,synthetic1m,variance,0,600,0.173,0.066,0.901,0.20620346069335938
OM3,synthetic1m,variance,0,800,0.23,0.081,0.912,0.2862701416015625
OM3,synthetic1m,weightsum,0,1000,0.308,0.086,0.9541,0.33612823486328125
OM3,synthetic1m,weightsum,0,1200,0.349,0.094,0.9574,0.3494110107421875
OM3,synthetic1m,weightsum,0,200,0.065,0.027,0.9159,0.3978729248046875
OM3,synthetic1m,weightsum,0,400,0.132,0.05,0.9348,0.3474693298339844
OM3,synthetic1m,weightsum,0,600,0.162,0.062,0.9443,0.22811508178710938
OM3,synthetic1m,weightsum,0,800,0.243,0.077,0.9497,0.3568382263183594
OM3,synthetic256m,boxcox0,0,1000,0.509,0.184,1.0,0.5841026306152344
OM3,synthetic256m,boxcox0,0,1200,0.564,0.241,1.0,0.5844039916992188
OM3,synthetic256m,boxcox0,0,200,0.318,0.081,1.0,0.5820350646972656
OM3,synthetic256m,boxcox0,0,400,0.348,0.073,1.0,0.5826416015625
OM3,synthetic256m,boxcox0,0,600,0.426,0.125,1.0,0.6273880004882812
OM3,synthetic256m,boxcox0,0,800,0.452,0.15,1.0,0.5829010009765625
OM3,synthetic256m,devide,0,1000,0.885,0.303,0.9985,0.8361968994140625
OM3,synthetic256m,devide,0,1200,0.923,0.306,0.999,0.8357505798339844
OM3,synthetic256m,devide,0,200,0.55,0.042,0.9978,0.8318977355957031
OM3,synthetic256m,devide,0,400,0.618,0.081,0.9985,0.8318977355957031
OM3,synthetic256m,devide,0,600,0.698,0.129,0.9978,0.878814697265625
OM3,synthetic256m,devide,0,800,0.767,0.164,0.9985,0.833953857421875
OM3,synthetic256m,func1,0,1000,0.539,0.208,1.0,0.5840988159179688
OM3,synthetic256m,func1,0,1200,0.602,0.272,1.0,0.5844039916992188
OM3,synthetic256m,func1,0,200,0.49,0.267,1.0,0.5820236206054688
OM3,synthetic256m,func1,0,400,0.388,0.093,1.0,0.5826377868652344
OM3,synthetic256m,func1,0,600,0.434,0.135,1.0,0.6273880004882812
OM3,synthetic256m,func1,0,800,0.497,0.19,1.0,0.5828971862792969
OM3,synthetic256m,L2,0,1000,1.663,0.267,0.9755,1.5860023498535156
OM3,synthetic256m,L2,0,1200,1.729,0.259,0.9785,1.5888023376464844
OM3,synthetic256m,L2,0,200,1.14,0.163,0.9591,1.5819091796875
OM3,synthetic256m,L2,0,400,1.241,0.095,0.9676,1.5842781066894531
OM3,synthetic256m,L2,0,600,1.415,0.205,0.9728,1.6302986145019531
OM3,synthetic256m,L2,0,800,1.532,0.237,0.9743,1.5845222473144531
OM3,synthetic256m,L22,0,1000,0.829,0.272,0.8627,0.8362045288085938
OM3,synthetic256m,L22,0,1200,0.882,0.3,0.8631,0.8357582092285156
OM3,synthetic256m,L22,0,200,0.542,0.045,0.8573,0.8319053649902344
OM3,synthetic256m,L22,0,400,0.562,0.083,0.8594,0.8320770263671875
OM3,synthetic256m,L22,0,600,0.65,0.143,0.8609,0.8793411254882812
OM3,synthetic256m,L22,0,800,0.718,0.175,0.86,0.8339614868164062
OM3,synthetic256m,L2LN,0,1000,1.661,0.226,0.9877,1.5864753723144531
OM3,synthetic256m,L2LN,0,1200,1.782,0.259,0.9886,1.5889739990234375
OM3,synthetic256m,L2LN,0,200,1.072,0.122,0.979,1.5816688537597656
OM3,synthetic256m,L2LN,0,400,1.273,0.097,0.9829,1.5842857360839844
OM3,synthetic256m,L2LN,0,600,1.386,0.153,0.9853,1.6309013366699219
OM3,synthetic256m,L2LN,0,800,1.56,0.232,0.9871,1.5828590393066406
OM3,synthetic256m,max,0,1000,1.675,0.218,0.9996,1.5862503051757812
OM3,synthetic256m,max,0,1200,1.788,0.271,0.9996,1.5876693725585938
OM3,synthetic256m,max,0,200,0.867,0.102,0.9982,1.5816612243652344
OM3,synthetic256m,max,0,400,1.413,0.098,0.9993,1.5842781066894531
OM3,synthetic256m,max,0,600,1.393,0.156,0.9994,1.6307792663574219
OM3,synthetic256m,max,0,800,1.57,0.235,0.9996,1.5828514099121094
OM3,synthetic256m,mean,0,1000,1.808,0.242,0.973,1.5859947204589844
OM3,synthetic256m,mean,0,1200,1.347,0.211,0.9744,1.585601806640625
OM3,synthetic256m,mean,0,200,1.211,0.048,0.953,1.5816612243652344
OM3,synthetic256m,mean,0,400,1.399,0.093,0.9612,1.5842781066894531
OM3,synthetic256m,mean,0,600,1.355,0.134,0.9674,1.6302909851074219
OM3,synthetic256m,mean,0,800,1.682,0.198,0.9683,1.5828514099121094
OM3,synthetic256m,minus,0,1000,0.86,0.193,0.9607,0.8361968994140625
OM3,synthetic256m,minus,0,1200,0.885,0.284,0.9623,0.8359222412109375
OM3,synthetic256m,minus,0,200,0.55,0.112,0.9401,0.8318977355957031
OM3,synthetic256m,minus,0,400,0.619,0.081,0.9461,0.8320693969726562
OM3,synthetic256m,minus,0,600,0.697,0.128,0.9549,0.8786468505859375
OM3,synthetic256m,minus,0,800,0.758,0.228,0.9564,0.8337821960449219
OM3,synthetic256m,multi,0,1000,0.869,0.204,0.9777,0.8361968994140625
OM3,synthetic256m,multi,0,1200,0.897,0.285,0.9793,0.8357505798339844
OM3,synthetic256m,multi,0,200,0.548,0.112,0.958,0.8318977355957031
OM3,synthetic256m,multi,0,400,0.62,0.083,0.9683,0.8320693969726562
OM3,synthetic256m,multi,0,600,0.694,0.127,0.9712,0.8791656494140625
OM3,synthetic256m,multi,0,800,0.758,0.161,0.9758,0.8337821960449219
OM3,synthetic256m,plus,0,1000,0.839,0.26,0.9801,0.8361930847167969
OM3,synthetic256m,plus,0,1200,0.895,0.285,0.9807,0.8357505798339844
OM3,synthetic256m,plus,0,200,0.532,0.043,0.9643,0.8318939208984375
OM3,synthetic256m,plus,0,400,0.625,0.08,0.9716,0.8320655822753906
OM3,synthetic256m,plus,0,600,0.69,0.126,0.9751,0.8786811828613281
OM3,synthetic256m,plus,0,800,0.754,0.16,0.9796,0.8337783813476562
OM3,synthetic256m,variance,0,1000,1.303,0.18,0.9698,1.5859947204589844
OM3,synthetic256m,variance,0,1200,1.328,0.203,0.9718,1.585601806640625
OM3,synthetic256m,variance,0,200,0.89,0.099,0.9478,1.5819015502929688
OM3,synthetic256m,variance,0,400,1.375,0.099,0.957,1.5842781066894531
OM3,synthetic256m,variance,0,600,1.073,0.128,0.9627,1.6293067932128906
OM3,synthetic256m,variance,0,800,1.138,0.136,0.9665,1.5861892700195312
OM3,synthetic256m,weightsum,0,1000,1.671,0.221,0.9699,1.5862579345703125
OM3,synthetic256m,weightsum,0,1200,1.799,0.309,0.9715,1.587677001953125
OM3,synthetic256m,weightsum,0,200,1.128,0.158,0.9458,1.5816688537597656
OM3,synthetic256m,weightsum,0,400,1.277,0.105,0.9581,1.5842857360839844
OM3,synthetic256m,weightsum,0,600,1.42,0.285,0.9636,1.6302986145019531
OM3,synthetic256m,weightsum,0,800,1.552,0.183,0.9671,1.5828590393066406
