experiment,table,function,errorbound,width,time,sqltime,ssim,memory(GB)
OM3,nycdata,weightsum,0,1000,0.534,0.112,0.9666,0.51580810546875
OM3,nycdata,weightsum,0,1200,0.652,0.127,0.9654,0.595947265625
OM3,nycdata,weightsum,0,200,0.116,0.026,0.967,0.5038337707519531
OM3,nycdata,weightsum,0,400,0.224,0.066,0.9657,0.5042991638183594
OM3,nycdata,weightsum,0,600,0.322,0.093,0.9664,0.4374122619628906
OM3,nycdata,weightsum,0,800,0.385,0.105,0.9667,0.5090217590332031
OM3,sensordata,boxcox0,0,1000,0.219,0.119,1.0,0.3692474365234375
OM3,sensordata,boxcox0,0,1200,0.318,0.16,1.0,0.3699951171875
OM3,sensordata,boxcox0,0,200,0.083,0.037,1.0,0.4012031555175781
OM3,sensordata,boxcox0,0,400,0.113,0.051,1.0,0.36847686767578125
OM3,sensordata,boxcox0,0,600,0.177,0.088,1.0,0.29644775390625
OM3,sensordata,boxcox0,0,800,0.185,0.105,1.0,0.4020500183105469
OM3,sensordata,devide,0,1000,0.325,0.131,0.9566,0.4016304016113281
OM3,sensordata,devide,0,1200,0.392,0.161,0.9588,0.4024620056152344
OM3,sensordata,devide,0,200,0.12,0.036,0.9443,0.3994903564453125
OM3,sensordata,devide,0,400,0.16,0.06,0.9503,0.3997383117675781
OM3,sensordata,devide,0,600,0.236,0.094,0.9516,0.3296775817871094
OM3,sensordata,devide,0,800,0.302,0.112,0.9544,0.40216827392578125
OM3,sensordata,func1,0,1000,0.246,0.142,1.0,0.369232177734375
OM3,sensordata,func1,0,1200,0.332,0.166,1.0,0.36998748779296875
OM3,sensordata,func1,0,200,0.065,0.045,1.0,0.5075645446777344
OM3,sensordata,func1,0,400,0.119,0.076,1.0,0.42301177978515625
OM3,sensordata,func1,0,600,0.173,0.099,1.0,0.4075164794921875
OM3,sensordata,func1,0,800,0.192,0.108,1.0,0.4020576477050781
OM3,sensordata,L2,0,1000,0.736,0.163,1.0,0.5625267028808594
OM3,sensordata,L2,0,1200,0.886,0.207,1.0,0.5662422180175781
OM3,sensordata,L2,0,200,0.31,0.041,1.0,0.5556182861328125
OM3,sensordata,L2,0,400,0.393,0.071,1.0,0.5564117431640625
OM3,sensordata,L2,0,600,0.522,0.119,1.0,0.4879493713378906
OM3,sensordata,L2,0,800,0.667,0.134,1.0,0.5591392517089844
OM3,sensordata,L22,0,1000,0.326,0.13,0.9753,0.40137481689453125
OM3,sensordata,L22,0,1200,0.411,0.162,0.977,0.4024620056152344
OM3,sensordata,L22,0,200,0.098,0.037,0.9559,0.6195602416992188
OM3,sensordata,L22,0,400,0.174,0.063,0.9638,0.39992523193359375
OM3,sensordata,L22,0,600,0.245,0.094,0.9698,0.3295021057128906
OM3,sensordata,L22,0,800,0.291,0.109,0.9709,0.40216827392578125
OM3,sensordata,L2LN,0,1000,0.741,0.165,0.9412,0.5625267028808594
OM3,sensordata,L2LN,0,1200,0.897,0.199,0.944,0.5662422180175781
OM3,sensordata,L2LN,0,200,0.297,0.043,0.9194,0.5556182861328125
OM3,sensordata,L2LN,0,400,0.403,0.072,0.929,0.5564117431640625
OM3,sensordata,L2LN,0,600,0.515,0.118,0.9353,0.485931396484375
OM3,sensordata,L2LN,0,800,0.679,0.135,0.9394,0.5590591430664062
