method,data,errorbound,function,width,iterations,time(s),error,nodecount,memory(GB)
our-cpp,soccerdata,0.1,L2LN,400,22,0.102,0.0999,104458,0.24314498901367188
our-cpp,soccerdata,0.1,L2LN,600,18,0.138,0.0989,136150,0.24550628662109375
our-cpp,soccerdata,0.1,L2LN,800,15,0.168,0.0994,163422,0.24802398681640625
our-cpp,soccerdata,0.1,L2LN,1000,13,0.192,0.0995,184374,0.249786376953125
our-cpp,soccerdata,0.1,L2LN,1200,12,0.22,0.0979,208581,0.251800537109375
our-cpp,soccerdata,0.05,func1,200,0,0.005,0.0,1140,0.251800537109375
our-cpp,soccerdata,0.05,func1,400,0,0.008,0.0,2139,0.251800537109375
our-cpp,soccerdata,0.05,func1,600,0,0.011,0.0,3073,0.251800537109375
our-cpp,soccerdata,0.05,func1,800,0,0.015,0.0,4008,0.251800537109375
our-cpp,soccerdata,0.05,func1,1000,0,0.017,0.0,4874,0.251800537109375
our-cpp,soccerdata,0.05,func1,1200,0,0.02,0.0,5743,0.251800537109375
our-cpp,soccerdata,0.05,boxcox0,200,0,0.004,0.0,1140,0.251800537109375
our-cpp,soccerdata,0.05,boxcox0,400,0,0.007,0.0,2139,0.251800537109375
our-cpp,soccerdata,0.05,boxcox0,600,0,0.011,0.0,3073,0.251800537109375
our-cpp,soccerdata,0.05,boxcox0,800,0,0.014,0.0,4008,0.251800537109375
our-cpp,soccerdata,0.05,boxcox0,1000,0,0.018,0.0,4874,0.251800537109375
our-cpp,soccerdata,0.05,boxcox0,1200,0,0.02,0.0,5743,0.251800537109375
our-cpp,soccerdata,0.05,plus,200,1,0.009,0.0004,4509,0.251800537109375
our-cpp,soccerdata,0.05,plus,400,1,0.016,0.0004,7434,0.251800537109375
our-cpp,soccerdata,0.05,plus,600,1,0.023,0.0004,10715,0.251800537109375
our-cpp,soccerdata,0.05,plus,800,1,0.031,0.0004,13630,0.251800537109375
our-cpp,soccerdata,0.05,plus,1000,1,0.036,0.0003,16669,0.251800537109375
our-cpp,soccerdata,0.05,plus,1200,1,0.042,0.0003,19251,0.251800537109375
our-cpp,soccerdata,0.05,minus,200,1,0.009,0.0134,4004,0.251800537109375
our-cpp,soccerdata,0.05,minus,400,1,0.017,0.0126,7177,0.251800537109375
our-cpp,soccerdata,0.05,minus,600,1,0.023,0.012,10495,0.251800537109375
our-cpp,soccerdata,0.05,minus,800,1,0.03,0.0094,13579,0.251800537109375
our-cpp,soccerdata,0.05,minus,1000,1,0.037,0.0107,16742,0.251800537109375
our-cpp,soccerdata,0.05,minus,1200,1,0.043,0.0104,19382,0.251800537109375
our-cpp,soccerdata,0.05,multi,200,1,0.008,0.0192,4081,0.251800537109375
our-cpp,soccerdata,0.05,multi,400,1,0.016,0.0142,7344,0.251800537109375
our-cpp,soccerdata,0.05,multi,600,1,0.023,0.0113,10685,0.251800537109375
our-cpp,soccerdata,0.05,multi,800,1,0.03,0.0089,13915,0.251800537109375
our-cpp,soccerdata,0.05,multi,1000,1,0.037,0.008,17015,0.251800537109375
our-cpp,soccerdata,0.05,multi,1200,1,0.043,0.0069,19926,0.251800537109375
our-cpp,soccerdata,0.05,devide,200,24,0.02,0.0495,14213,0.251800537109375
our-cpp,soccerdata,0.05,devide,400,16,0.032,0.0484,20105,0.251800537109375
our-cpp,soccerdata,0.05,devide,600,13,0.041,0.0456,25664,0.251800537109375
our-cpp,soccerdata,0.05,devide,800,10,0.05,0.0493,29923,0.251800537109375
our-cpp,soccerdata,0.05,devide,1000,9,0.058,0.0469,34229,0.251800537109375
our-cpp,soccerdata,0.05,devide,1200,8,0.066,0.0468,38330,0.251800537109375
our-cpp,soccerdata,0.05,mean,200,3,0.027,0.0125,19644,0.251800537109375
our-cpp,soccerdata,0.05,mean,400,2,0.048,0.0131,30910,0.251800537109375
our-cpp,soccerdata,0.05,mean,600,1,0.064,0.0379,35822,0.251800537109375
our-cpp,soccerdata,0.05,mean,800,1,0.084,0.0223,45487,0.251800537109375
our-cpp,soccerdata,0.05,mean,1000,1,0.102,0.0198,55746,0.251800537109375
our-cpp,soccerdata,0.05,mean,1200,1,0.117,0.0192,65122,0.2518157958984375
our-cpp,soccerdata,0.05,variance,200,1,0.025,0.002,13591,0.2518157958984375
our-cpp,soccerdata,0.05,variance,400,1,0.049,0.0007,25066,0.2518157958984375
our-cpp,soccerdata,0.05,variance,600,1,0.07,0.0008,36894,0.2518157958984375
our-cpp,soccerdata,0.05,variance,800,1,0.091,0.0004,46911,0.2518157958984375
our-cpp,soccerdata,0.05,variance,1000,1,0.109,0.0002,56595,0.2518157958984375
our-cpp,soccerdata,0.05,variance,1200,1,0.126,0.0002,65536,0.2518157958984375
our-cpp,soccerdata,0.05,max,200,0,0.019,0.0113,6845,0.2518157958984375
our-cpp,soccerdata,0.05,max,400,0,0.037,0.0119,12837,0.2518157958984375
our-cpp,soccerdata,0.05,max,600,0,0.053,0.0111,18441,0.2518157958984375
our-cpp,soccerdata,0.05,max,800,0,0.069,0.0111,24049,0.2518157958984375
our-cpp,soccerdata,0.05,max,1000,0,0.073,0.0111,29245,0.2518157958984375
our-cpp,soccerdata,0.05,max,1200,0,0.089,0.0111,34461,0.2518157958984375
our-cpp,soccerdata,0.05,L2,200,1,0.024,0.0102,13741,0.2518157958984375
our-cpp,soccerdata,0.05,L2,400,1,0.045,0.0079,24066,0.2518157958984375
our-cpp,soccerdata,0.05,L2,600,1,0.065,0.0074,35654,0.2518157958984375
our-cpp,soccerdata,0.05,L2,800,1,0.087,0.0071,45534,0.2518157958984375
our-cpp,soccerdata,0.05,L2,1000,1,0.109,0.0066,55085,0.2518157958984375
our-cpp,soccerdata,0.05,L2,1200,1,0.117,0.0067,65014,0.2518157958984375
our-cpp,soccerdata,0.05,weightsum,200,2,0.027,0.0318,17156,0.2518157958984375
our-cpp,soccerdata,0.05,weightsum,400,1,0.047,0.039,24417,0.2518157958984375
our-cpp,soccerdata,0.05,weightsum,600,1,0.067,0.0126,35563,0.2518157958984375
our-cpp,soccerdata,0.05,weightsum,800,1,0.087,0.0114,45156,0.2518157958984375
our-cpp,soccerdata,0.05,weightsum,1000,1,0.104,0.0093,56138,0.2518157958984375
our-cpp,soccerdata,0.05,weightsum,1200,1,0.119,0.0095,65063,0.2518157958984375
our-cpp,soccerdata,0.05,L22,200,1,0.011,0.0002,4154,0.2518157958984375
our-cpp,soccerdata,0.05,L22,400,1,0.018,0.0003,7440,0.2518157958984375
our-cpp,soccerdata,0.05,L22,600,1,0.025,0.0002,10713,0.2518157958984375
our-cpp,soccerdata,0.05,L22,800,1,0.033,0.0003,13662,0.2518157958984375
our-cpp,soccerdata,0.05,L22,1000,1,0.038,0.0002,16833,0.2518157958984375
our-cpp,soccerdata,0.05,L22,1200,1,0.045,0.0002,19938,0.2518157958984375
our-cpp,soccerdata,0.05,L2LN,200,71,0.088,0.0494,98278,0.2518157958984375
our-cpp,soccerdata,0.05,L2LN,400,47,0.134,0.0491,137609,0.2518157958984375
our-cpp,soccerdata,0.05,L2LN,600,37,0.172,0.0497,176537,0.2518157958984375
our-cpp,soccerdata,0.05,L2LN,800,31,0.207,0.0492,207356,0.2518157958984375
our-cpp,soccerdata,0.05,L2LN,1000,27,0.248,0.0483,235446,0.2518157958984375
our-cpp,soccerdata,0.05,L2LN,1200,24,0.287,0.0487,261854,0.253326416015625
our-cpp,soccerdata,0.01,func1,200,0,0.007,0.0,1140,0.253326416015625
our-cpp,soccerdata,0.01,func1,400,0,0.008,0.0,2139,0.253326416015625
our-cpp,soccerdata,0.01,func1,600,0,0.012,0.0,3073,0.253326416015625
our-cpp,soccerdata,0.01,func1,800,0,0.015,0.0,4008,0.253326416015625
our-cpp,soccerdata,0.01,func1,1000,0,0.019,0.0,4874,0.253326416015625
our-cpp,soccerdata,0.01,func1,1200,0,0.022,0.0,5743,0.253326416015625
our-cpp,soccerdata,0.01,boxcox0,200,0,0.004,0.0,1140,0.253326416015625
our-cpp,soccerdata,0.01,boxcox0,400,0,0.007,0.0,2139,0.253326416015625
our-cpp,soccerdata,0.01,boxcox0,600,0,0.011,0.0,3073,0.253326416015625
our-cpp,soccerdata,0.01,boxcox0,800,0,0.015,0.0,4008,0.253326416015625
our-cpp,soccerdata,0.01,boxcox0,1000,0,0.018,0.0,4874,0.253326416015625
our-cpp,soccerdata,0.01,boxcox0,1200,0,0.02,0.0,5743,0.253326416015625
our-cpp,soccerdata,0.01,plus,200,1,0.01,0.0004,4514,0.253326416015625
our-cpp,soccerdata,0.01,plus,400,1,0.018,0.0004,7520,0.253326416015625
our-cpp,soccerdata,0.01,plus,600,1,0.025,0.0004,10817,0.253326416015625
our-cpp,soccerdata,0.01,plus,800,1,0.032,0.0004,13872,0.253326416015625
our-cpp,soccerdata,0.01,plus,1000,1,0.038,0.0003,16684,0.253326416015625
