method,data,errorbound,function,width,iterations,time(s),error,nodecount,memory(GB)
our-cpp,nycdata,0.05,devide,200,6,0.008,0.036,3509,0.26500701904296875
our-cpp,nycdata,0.05,devide,400,5,0.014,0.0451,5912,0.26500701904296875
our-cpp,nycdata,0.05,devide,600,5,0.022,0.0438,8558,0.26500701904296875
our-cpp,nycdata,0.05,devide,800,5,0.027,0.0469,10695,0.26500701904296875
our-cpp,nycdata,0.05,devide,1000,5,0.034,0.0454,12863,0.26500701904296875
our-cpp,nycdata,0.05,devide,1200,5,0.04,0.043,15065,0.26500701904296875
our-cpp,nycdata,0.05,mean,200,5,0.05,0.0496,30530,0.26500701904296875
our-cpp,nycdata,0.05,mean,400,4,0.082,0.0405,50069,0.26500701904296875
our-cpp,nycdata,0.05,mean,600,3,0.111,0.0391,61080,0.26500701904296875
our-cpp,nycdata,0.05,mean,800,2,0.124,0.0463,64193,0.26500701904296875
our-cpp,nycdata,0.05,mean,1000,2,0.154,0.04,78062,0.26500701904296875
our-cpp,nycdata,0.05,mean,1200,2,0.188,0.0365,90548,0.26500701904296875
our-cpp,nycdata,0.05,variance,200,1,0.04,0.0092,12507,0.26500701904296875
our-cpp,nycdata,0.05,variance,400,1,0.069,0.0081,24738,0.26500701904296875
our-cpp,nycdata,0.05,variance,600,1,0.098,0.0071,35619,0.26500701904296875
our-cpp,nycdata,0.05,variance,800,1,0.121,0.006,45819,0.26500701904296875
our-cpp,nycdata,0.05,variance,1000,1,0.15,0.0049,56638,0.26500701904296875
our-cpp,nycdata,0.05,variance,1200,1,0.176,0.0044,67118,0.26500701904296875
our-cpp,nycdata,0.05,max,200,1,0.032,0.0012,9649,0.26500701904296875
our-cpp,nycdata,0.05,max,400,1,0.055,0.0011,18060,0.26500701904296875
our-cpp,nycdata,0.05,max,600,1,0.081,0.0011,26406,0.26500701904296875
our-cpp,nycdata,0.05,max,800,1,0.103,0.0012,33511,0.26500701904296875
our-cpp,nycdata,0.05,max,1000,1,0.125,0.0012,40903,0.26500701904296875
our-cpp,nycdata,0.05,max,1200,1,0.145,0.0013,49191,0.26500701904296875
our-cpp,nycdata,0.05,L2,200,1,0.073,0.0251,11860,0.2670402526855469
our-cpp,nycdata,0.05,L2,400,1,0.067,0.0235,24039,0.2670402526855469
our-cpp,nycdata,0.05,L2,600,1,0.092,0.0207,35776,0.2670402526855469
our-cpp,nycdata,0.05,L2,800,1,0.114,0.019,45708,0.2670402526855469
our-cpp,nycdata,0.05,L2,1000,1,0.14,0.0163,55344,0.2670402526855469
our-cpp,nycdata,0.05,L2,1200,1,0.166,0.0153,66358,0.2670402526855469
our-cpp,nycdata,0.05,weightsum,200,1,0.037,0.0247,13121,0.2670402526855469
our-cpp,nycdata,0.05,weightsum,400,1,0.063,0.0197,24656,0.2670402526855469
our-cpp,nycdata,0.05,weightsum,600,1,0.093,0.0175,35980,0.2670402526855469
our-cpp,nycdata,0.05,weightsum,800,1,0.115,0.0147,45884,0.2670402526855469
our-cpp,nycdata,0.05,weightsum,1000,1,0.159,0.0126,56576,0.2670402526855469
our-cpp,nycdata,0.05,weightsum,1200,1,0.166,0.0119,66853,0.2670402526855469
our-cpp,nycdata,0.05,L22,200,1,0.008,0.0242,1879,0.2670402526855469
our-cpp,nycdata,0.05,L22,400,1,0.013,0.0224,3480,0.2670402526855469
our-cpp,nycdata,0.05,L22,600,1,0.019,0.0184,5099,0.2670402526855469
our-cpp,nycdata,0.05,L22,800,1,0.023,0.0178,6559,0.2670402526855469
our-cpp,nycdata,0.05,L22,1000,1,0.029,0.0161,7981,0.2670402526855469
our-cpp,nycdata,0.05,L22,1200,1,0.034,0.0152,9417,0.2670402526855469
our-cpp,nycdata,0.05,L2LN,200,32,0.119,0.0493,100838,0.2670402526855469
our-cpp,nycdata,0.05,L2LN,400,22,0.174,0.0486,131533,0.2670402526855469
our-cpp,nycdata,0.05,L2LN,600,17,0.222,0.0493,155932,0.2670402526855469
our-cpp,nycdata,0.05,L2LN,800,15,0.265,0.0489,185346,0.267913818359375
our-cpp,nycdata,0.05,L2LN,1000,13,0.307,0.0498,209000,0.2704620361328125
our-cpp,nycdata,0.05,L2LN,1200,12,0.358,0.0498,234614,0.27323150634765625
our-cpp,nycdata,0.01,func1,200,1,0.009,0.0,963,0.27323150634765625
our-cpp,nycdata,0.01,func1,400,1,0.01,0.0,1844,0.27323150634765625
our-cpp,nycdata,0.01,func1,600,1,0.013,0.0,2578,0.27323150634765625
our-cpp,nycdata,0.01,func1,800,1,0.018,0.0,3242,0.27323150634765625
our-cpp,nycdata,0.01,func1,1000,1,0.02,0.0,3957,0.27323150634765625
our-cpp,nycdata,0.01,func1,1200,1,0.024,0.0,4685,0.27323150634765625
our-cpp,nycdata,0.01,boxcox0,200,0,0.004,0.0,613,0.27323150634765625
our-cpp,nycdata,0.01,boxcox0,400,0,0.007,0.0,1137,0.27323150634765625
our-cpp,nycdata,0.01,boxcox0,600,0,0.01,0.0,1673,0.27323150634765625
our-cpp,nycdata,0.01,boxcox0,800,0,0.013,0.0,2105,0.27323150634765625
our-cpp,nycdata,0.01,boxcox0,1000,0,0.016,0.0,2588,0.27323150634765625
our-cpp,nycdata,0.01,boxcox0,1200,0,0.019,0.0,3083,0.27323150634765625
our-cpp,nycdata,0.01,plus,200,15,0.011,0.0098,4383,0.27323150634765625
our-cpp,nycdata,0.01,plus,400,12,0.017,0.0097,6835,0.27323150634765625
our-cpp,nycdata,0.01,plus,600,10,0.024,0.0096,9120,0.27323150634765625
our-cpp,nycdata,0.01,plus,800,9,0.031,0.009,10900,0.27323150634765625
our-cpp,nycdata,0.01,plus,1000,8,0.036,0.0089,12957,0.27323150634765625
our-cpp,nycdata,0.01,plus,1200,8,0.043,0.0081,14873,0.27323150634765625
our-cpp,nycdata,0.01,minus,200,3,0.008,0.0066,2923,0.27323150634765625
our-cpp,nycdata,0.01,minus,400,3,0.014,0.0048,5193,0.27323150634765625
our-cpp,nycdata,0.01,minus,600,3,0.021,0.0063,7509,0.27323150634765625
our-cpp,nycdata,0.01,minus,800,3,0.027,0.0057,9519,0.27323150634765625
our-cpp,nycdata,0.01,minus,1000,3,0.033,0.0062,11458,0.27323150634765625
our-cpp,nycdata,0.01,minus,1200,3,0.038,0.0054,13514,0.27323150634765625
our-cpp,nycdata,0.01,multi,200,23,0.014,0.0096,6710,0.27323150634765625
our-cpp,nycdata,0.01,multi,400,17,0.021,0.0097,10175,0.27323150634765625
our-cpp,nycdata,0.01,multi,600,15,0.029,0.0087,13364,0.27323150634765625
our-cpp,nycdata,0.01,multi,800,13,0.036,0.0094,16030,0.27323150634765625
our-cpp,nycdata,0.01,multi,1000,12,0.042,0.0091,18536,0.27323150634765625
our-cpp,nycdata,0.01,multi,1200,11,0.049,0.0094,20626,0.27323150634765625
our-cpp,nycdata,0.01,devide,200,11,0.01,0.009,3824,0.27323150634765625
our-cpp,nycdata,0.01,devide,400,11,0.021,0.008,6571,0.2744636535644531
our-cpp,nycdata,0.01,devide,600,11,0.026,0.0083,9401,0.2744636535644531
our-cpp,nycdata,0.01,devide,800,11,0.033,0.0088,12145,0.2744636535644531
our-cpp,nycdata,0.01,devide,1000,12,0.041,0.0087,15067,0.2744636535644531
our-cpp,nycdata,0.01,devide,1200,11,0.052,0.0093,17268,0.2744636535644531
our-cpp,nycdata,0.01,mean,200,19,0.076,0.0095,56259,0.2751960754394531
our-cpp,nycdata,0.01,mean,400,12,0.124,0.01,76137,0.2751960754394531
our-cpp,nycdata,0.01,mean,600,10,0.148,0.0094,95139,0.2751960754394531
our-cpp,nycdata,0.01,mean,800,8,0.179,0.01,109554,0.2751960754394531
our-cpp,nycdata,0.01,mean,1000,7,0.204,0.01,125552,0.27728271484375
our-cpp,nycdata,0.01,mean,1200,7,0.243,0.0094,147814,0.28005218505859375
our-cpp,nycdata,0.01,variance,200,1,0.041,0.0092,12886,0.280303955078125
our-cpp,nycdata,0.01,variance,400,1,0.069,0.0081,24131,0.280303955078125
our-cpp,nycdata,0.01,variance,600,1,0.103,0.0071,35538,0.280303955078125
our-cpp,nycdata,0.01,variance,800,1,0.128,0.006,44664,0.280303955078125
our-cpp,nycdata,0.01,variance,1000,1,0.155,0.0049,55293,0.280303955078125
our-cpp,nycdata,0.01,variance,1200,1,0.18,0.0044,65925,0.280303955078125
our-cpp,nycdata,0.01,max,200,1,0.033,0.0012,9598,0.280303955078125
our-cpp,nycdata,0.01,max,400,1,0.055,0.0011,17589,0.280303955078125
our-cpp,nycdata,0.01,max,600,1,0.082,0.0011,25874,0.280303955078125
our-cpp,nycdata,0.01,max,800,1,0.128,0.0012,33407,0.280517578125
our-cpp,nycdata,0.01,max,1000,1,0.123,0.0012,40766,0.280517578125
our-cpp,nycdata,0.01,max,1200,1,0.146,0.0013,48049,0.280517578125
our-cpp,nycdata,0.01,L2,200,4,0.045,0.0099,21873,0.280517578125
our-cpp,nycdata,0.01,L2,400,3,0.075,0.0098,35769,0.280517578125
our-cpp,nycdata,0.01,L2,600,3,0.111,0.0072,50387,0.280517578125
our-cpp,nycdata,0.01,L2,800,2,0.132,0.0096,56375,0.280517578125
our-cpp,nycdata,0.01,L2,1000,2,0.155,0.008,68930,0.280517578125
our-cpp,nycdata,0.01,L2,1200,2,0.184,0.0069,81828,0.2811775207519531
our-cpp,nycdata,0.01,weightsum,200,4,0.048,0.0078,22467,0.2814292907714844
our-cpp,nycdata,0.01,weightsum,400,3,0.076,0.0067,35534,0.2814292907714844
our-cpp,nycdata,0.01,weightsum,600,2,0.105,0.0084,44497,0.2814292907714844
our-cpp,nycdata,0.01,weightsum,800,2,0.128,0.0064,56093,0.2814292907714844
our-cpp,nycdata,0.01,weightsum,1000,2,0.156,0.0052,66755,0.2814292907714844
our-cpp,nycdata,0.01,weightsum,1200,2,0.184,0.0047,80318,0.28243255615234375
our-cpp,nycdata,0.01,L22,200,3,0.012,0.0087,2576,0.282684326171875
our-cpp,nycdata,0.01,L22,400,3,0.015,0.0067,4504,0.282684326171875
our-cpp,nycdata,0.01,L22,600,2,0.02,0.0096,5856,0.282684326171875
our-cpp,nycdata,0.01,L22,800,2,0.026,0.0081,7514,0.282684326171875
our-cpp,nycdata,0.01,L22,1000,2,0.032,0.0074,9244,0.282684326171875
our-cpp,nycdata,0.01,L22,1200,2,0.038,0.0066,10902,0.282684326171875
our-cpp,nycdata,0.01,L2LN,200,194,0.252,0.01,243112,0.282684326171875
our-cpp,nycdata,0.01,L2LN,400,120,0.347,0.0099,305494,0.282684326171875
our-cpp,nycdata,0.01,L2LN,600,90,0.436,0.01,355590,0.282684326171875
our-cpp,nycdata,0.01,L2LN,800,76,0.522,0.0099,404122,0.2851715087890625
our-cpp,nycdata,0.01,L2LN,1000,67,0.582,0.0099,456270,0.2919044494628906
our-cpp,nycdata,0.01,L2LN,1200,60,0.655,0.0099,499448,0.2990760803222656
our-cpp,nycdata,0.0,func1,200,1,0.015,0.0,995,0.2993278503417969
our-cpp,nycdata,0.0,func1,400,1,0.012,0.0,1827,0.2993278503417969
our-cpp,nycdata,0.0,func1,600,1,0.015,0.0,2566,0.2993278503417969
our-cpp,nycdata,0.0,func1,800,1,0.018,0.0,3294,0.2993278503417969
our-cpp,nycdata,0.0,func1,1000,1,0.022,0.0,3998,0.2993278503417969
our-cpp,nycdata,0.0,func1,1200,1,0.027,0.0,4669,0.2993278503417969
our-cpp,nycdata,0.0,boxcox0,200,0,0.003,0.0,613,0.2993278503417969
our-cpp,nycdata,0.0,boxcox0,400,0,0.007,0.0,1137,0.2993278503417969
our-cpp,nycdata,0.0,boxcox0,600,0,0.01,0.0,1673,0.2993278503417969
our-cpp,nycdata,0.0,boxcox0,800,0,0.013,0.0,2105,0.2993278503417969
our-cpp,nycdata,0.0,boxcox0,1000,0,0.016,0.0,2588,0.2993278503417969
our-cpp,nycdata,0.0,boxcox0,1200,0,0.02,0.0,3083,0.2993278503417969
our-cpp,nycdata,0.0,plus,200,61,0.018,0.0,5351,0.2993278503417969
our-cpp,nycdata,0.0,plus,400,47,0.027,0.0,8194,0.2993278503417969
our-cpp,nycdata,0.0,plus,600,32,0.034,0.0,10518,0.2993278503417969
our-cpp,nycdata,0.0,plus,800,35,0.045,0.0,12888,0.2993278503417969
our-cpp,nycdata,0.0,plus,1000,31,0.053,0.0,15001,0.2993278503417969
our-cpp,nycdata,0.0,plus,1200,28,0.059,0.0,17287,0.2993278503417969
our-cpp,nycdata,0.0,minus,200,17,0.011,0.0,3422,0.2993278503417969
our-cpp,nycdata,0.0,minus,400,30,0.021,0.0,5906,0.2993278503417969
our-cpp,nycdata,0.0,minus,600,22,0.029,0.0,8502,0.2993278503417969
our-cpp,nycdata,0.0,minus,800,27,0.038,0.0,10437,0.2993278503417969
our-cpp,nycdata,0.0,minus,1000,20,0.044,0.0,12978,0.2993278503417969
our-cpp,nycdata,0.0,minus,1200,24,0.054,0.0,14985,0.2993278503417969
our-cpp,nycdata,0.0,multi,200,96,0.026,0.0,9217,0.2993278503417969
our-cpp,nycdata,0.0,multi,400,64,0.034,0.0,13045,0.2993278503417969
our-cpp,nycdata,0.0,multi,600,68,0.049,0.0,16819,0.2993278503417969
our-cpp,nycdata,0.0,multi,800,53,0.055,0.0,20316,0.2993278503417969
our-cpp,nycdata,0.0,multi,1000,51,0.066,0.0,23072,0.3000831604003906
our-cpp,nycdata,0.0,multi,1200,44,0.074,0.0,25653,0.3023490905761719
our-cpp,nycdata,0.0,devide,200,25,0.012,0.0,4118,0.3026008605957031
our-cpp,nycdata,0.0,devide,400,40,0.025,0.0,7385,0.3026008605957031
our-cpp,nycdata,0.0,devide,600,42,0.037,0.0,10505,0.3026008605957031
our-cpp,nycdata,0.0,devide,800,53,0.052,0.0,13494,0.3043632507324219
our-cpp,nycdata,0.0,devide,1000,67,0.073,0.0,16200,0.3068809509277344
our-cpp,nycdata,0.0,devide,1200,78,0.094,0.0,19441,0.3104057312011719
our-cpp,nycdata,0.0,mean,200,133,0.097,0.0,72361,0.3172035217285156
our-cpp,nycdata,0.0,mean,400,80,0.14,0.0,101664,0.3209800720214844
our-cpp,nycdata,0.0,mean,600,75,0.189,0.0,124261,0.3245048522949219
our-cpp,nycdata,0.0,mean,800,66,0.228,0.0,143760,0.3287849426269531
our-cpp,nycdata,0.0,mean,1000,69,0.273,0.0,162966,0.3328132629394531
our-cpp,nycdata,0.0,mean,1200,60,0.321,0.0,187099,0.3373451232910156
our-cpp,nycdata,0.0,variance,200,27,0.068,0.0,39267,0.3375968933105469
our-cpp,nycdata,0.0,variance,400,16,0.104,0.0,56378,0.3375968933105469
our-cpp,nycdata,0.0,variance,600,17,0.145,0.0,73416,0.3375968933105469
our-cpp,nycdata,0.0,variance,800,15,0.178,0.0,88435,0.3375968933105469
our-cpp,nycdata,0.0,variance,1000,13,0.211,0.0,101716,0.3383522033691406
our-cpp,nycdata,0.0,variance,1200,12,0.245,0.0,117691,0.3413734436035156
our-cpp,nycdata,0.0,max,200,14,0.044,0.0,16902,0.3413734436035156
our-cpp,nycdata,0.0,max,400,11,0.068,0.0,26677,0.3413734436035156
our-cpp,nycdata,0.0,max,600,11,0.097,0.0,36352,0.3413734436035156
our-cpp,nycdata,0.0,max,800,15,0.123,0.0,44968,0.3413734436035156
our-cpp,nycdata,0.0,max,1000,11,0.146,0.0,53926,0.3413734436035156
our-cpp,nycdata,0.0,max,1200,14,0.174,0.0,63845,0.3413734436035156
our-cpp,nycdata,0.0,L2,200,31,0.064,0.0,34518,0.3413734436035156
our-cpp,nycdata,0.0,L2,400,24,0.099,0.0,52041,0.3413734436035156
our-cpp,nycdata,0.0,L2,600,21,0.142,0.0,67225,0.3413734436035156
our-cpp,nycdata,0.0,L2,800,20,0.163,0.0,82496,0.3413734436035156
our-cpp,nycdata,0.0,L2,1000,17,0.212,0.0,97160,0.3438911437988281
our-cpp,nycdata,0.0,L2,1200,17,0.227,0.0,111065,0.3469123840332031
our-cpp,nycdata,0.0,weightsum,200,37,0.065,0.0,32572,0.3471641540527344
our-cpp,nycdata,0.0,weightsum,400,23,0.094,0.0,47297,0.3471641540527344
our-cpp,nycdata,0.0,weightsum,600,31,0.138,0.0,62023,0.3471641540527344
our-cpp,nycdata,0.0,weightsum,800,31,0.163,0.0,74250,0.3471641540527344
our-cpp,nycdata,0.0,weightsum,1000,31,0.194,0.0,87700,0.3486747741699219
our-cpp,nycdata,0.0,weightsum,1200,30,0.23,0.0,102323,0.3521995544433594
our-cpp,nycdata,0.0,L22,200,51,0.021,0.0,3457,0.3524513244628906
our-cpp,nycdata,0.0,L22,400,30,0.023,0.0,5662,0.3524513244628906
our-cpp,nycdata,0.0,L22,600,23,0.03,0.0,7493,0.3524513244628906
our-cpp,nycdata,0.0,L22,800,35,0.046,0.0,9199,0.3524513244628906
our-cpp,nycdata,0.0,L22,1000,29,0.05,0.0,11146,0.3524513244628906
our-cpp,nycdata,0.0,L22,1200,28,0.057,0.0,12750,0.3524513244628906
our-cpp,nycdata,0.0,L2LN,200,591,0.358,0.0,288332,0.3524513244628906
our-cpp,nycdata,0.0,L2LN,400,382,0.456,0.0,364514,0.3552207946777344
our-cpp,nycdata,0.0,L2LN,600,300,0.554,0.0,422311,0.3632774353027344
our-cpp,nycdata,0.0,L2LN,800,261,0.655,0.0,481078,0.3756141662597656
our-cpp,nycdata,0.0,L2LN,1000,229,0.773,0.0,533336,0.3882026672363281
our-cpp,nycdata,0.0,L2LN,1200,215,0.841,0.0,586505,0.4007911682128906
our-cpp,synthetic1m,0.1,func1,200,0,0.002,0.0,1149,0.09187698364257812
our-cpp,synthetic1m,0.1,func1,400,0,0.002,0.0,2137,0.09246826171875
our-cpp,synthetic1m,0.1,func1,600,0,0.003,0.0,3049,0.09246826171875
our-cpp,synthetic1m,0.1,func1,800,0,0.005,0.0,3943,0.09246826171875
our-cpp,synthetic1m,0.1,func1,1000,0,0.006,0.0,4821,0.09246826171875
our-cpp,synthetic1m,0.1,func1,1200,0,0.007,0.0,5628,0.09246826171875
our-cpp,synthetic1m,0.1,boxcox0,200,0,0.001,0.0,1149,0.09246826171875
our-cpp,synthetic1m,0.1,boxcox0,400,0,0.003,0.0,2137,0.09246826171875
our-cpp,synthetic1m,0.1,boxcox0,600,0,0.004,0.0,3049,0.09246826171875
our-cpp,synthetic1m,0.1,boxcox0,800,0,0.005,0.0,3943,0.09246826171875
our-cpp,synthetic1m,0.1,boxcox0,1000,0,0.006,0.0,4821,0.09246826171875
our-cpp,synthetic1m,0.1,boxcox0,1200,0,0.007,0.0,5628,0.09246826171875
our-cpp,synthetic1m,0.1,plus,200,0,0.001,0.091,2298,0.09246826171875
our-cpp,synthetic1m,0.1,plus,400,0,0.002,0.0699,4274,0.09246826171875
our-cpp,synthetic1m,0.1,plus,600,0,0.003,0.0518,6098,0.09246826171875
our-cpp,synthetic1m,0.1,plus,800,0,0.004,0.0498,7887,0.09246826171875
our-cpp,synthetic1m,0.1,plus,1000,0,0.005,0.0436,9643,0.09246826171875
our-cpp,synthetic1m,0.1,plus,1200,0,0.006,0.0385,11257,0.09246826171875
our-cpp,synthetic1m,0.1,minus,200,1,0.013,0.0186,3334,0.09315109252929688
our-cpp,synthetic1m,0.1,minus,400,0,0.004,0.078,4274,0.09315109252929688
our-cpp,synthetic1m,0.1,minus,600,0,0.005,0.0823,6098,0.09315109252929688
our-cpp,synthetic1m,0.1,minus,800,0,0.006,0.0604,7887,0.09315109252929688
our-cpp,synthetic1m,0.1,minus,1000,0,0.008,0.0543,9643,0.09315109252929688
our-cpp,synthetic1m,0.1,minus,1200,0,0.008,0.0507,11257,0.09315109252929688
our-cpp,synthetic1m,0.1,multi,200,0,0.002,0.0694,2298,0.09315109252929688
our-cpp,synthetic1m,0.1,multi,400,0,0.003,0.0543,4274,0.09315109252929688
our-cpp,synthetic1m,0.1,multi,600,0,0.005,0.0409,6098,0.09315109252929688
our-cpp,synthetic1m,0.1,multi,800,0,0.006,0.0381,7887,0.09315109252929688
our-cpp,synthetic1m,0.1,multi,1000,0,0.007,0.0353,9643,0.09315109252929688
our-cpp,synthetic1m,0.1,multi,1200,0,0.008,0.0318,11257,0.09315109252929688
our-cpp,synthetic1m,0.1,devide,200,0,0.002,0.0729,2298,0.09315109252929688
our-cpp,synthetic1m,0.1,devide,400,0,0.003,0.0488,4274,0.09315109252929688
our-cpp,synthetic1m,0.1,devide,600,0,0.005,0.0426,6098,0.09315109252929688
our-cpp,synthetic1m,0.1,devide,800,0,0.006,0.0353,7887,0.09315109252929688
our-cpp,synthetic1m,0.1,devide,1000,0,0.007,0.0328,9643,0.09315109252929688
our-cpp,synthetic1m,0.1,devide,1200,0,0.009,0.0311,11257,0.09315109252929688
our-cpp,synthetic1m,0.1,mean,200,1,0.006,0.0686,7883,0.09315109252929688
our-cpp,synthetic1m,0.1,mean,400,1,0.01,0.0535,14374,0.09315109252929688
our-cpp,synthetic1m,0.1,mean,600,0,0.009,0.0854,15245,0.09315109252929688
our-cpp,synthetic1m,0.1,mean,800,0,0.011,0.076,19719,0.09315109252929688
our-cpp,synthetic1m,0.1,mean,1000,0,0.014,0.0647,24109,0.09315109252929688
our-cpp,synthetic1m,0.1,mean,1200,0,0.016,0.0647,28143,0.09315109252929688
our-cpp,synthetic1m,0.1,variance,200,1,0.008,0.0862,8980,0.09315109252929688
our-cpp,synthetic1m,0.1,variance,400,1,0.013,0.0696,15968,0.09315109252929688
our-cpp,synthetic1m,0.1,variance,600,1,0.018,0.0463,23198,0.09315109252929688
our-cpp,synthetic1m,0.1,variance,800,1,0.023,0.05,29601,0.09315109252929688
our-cpp,synthetic1m,0.1,variance,1000,1,0.028,0.0313,35780,0.09315109252929688
our-cpp,synthetic1m,0.1,variance,1200,1,0.033,0.0454,42511,0.09315109252929688
our-cpp,synthetic1m,0.1,max,200,0,0.003,0.0303,5745,0.09315109252929688
our-cpp,synthetic1m,0.1,max,400,0,0.006,0.0215,10685,0.09315109252929688
our-cpp,synthetic1m,0.1,max,600,0,0.008,0.0162,15245,0.09315109252929688
our-cpp,synthetic1m,0.1,max,800,0,0.01,0.0153,19719,0.09315109252929688
our-cpp,synthetic1m,0.1,max,1000,0,0.013,0.0136,24109,0.09315109252929688
our-cpp,synthetic1m,0.1,max,1200,0,0.015,0.0116,28143,0.09315109252929688
our-cpp,synthetic1m,0.1,L2,200,1,0.005,0.0355,9697,0.09315109252929688
our-cpp,synthetic1m,0.1,L2,400,0,0.006,0.0926,10685,0.09315109252929688
our-cpp,synthetic1m,0.1,L2,600,0,0.009,0.0825,15245,0.09315109252929688
our-cpp,synthetic1m,0.1,L2,800,0,0.012,0.0613,19719,0.09315109252929688
our-cpp,synthetic1m,0.1,L2,1000,0,0.015,0.0399,24109,0.09315109252929688
our-cpp,synthetic1m,0.1,L2,1200,0,0.017,0.0435,28143,0.09315109252929688
our-cpp,synthetic1m,0.1,weightsum,200,1,0.005,0.0315,9570,0.09315109252929688
our-cpp,synthetic1m,0.1,weightsum,400,1,0.009,0.0234,17358,0.09315109252929688
our-cpp,synthetic1m,0.1,weightsum,600,0,0.009,0.079,15245,0.09315109252929688
our-cpp,synthetic1m,0.1,weightsum,800,0,0.012,0.0568,19719,0.09315109252929688
our-cpp,synthetic1m,0.1,weightsum,1000,0,0.015,0.044,24109,0.09315109252929688
our-cpp,synthetic1m,0.1,weightsum,1200,0,0.017,0.0556,28143,0.09315109252929688
our-cpp,synthetic1m,0.1,L22,200,0,0.002,0.0814,2298,0.09315109252929688
our-cpp,synthetic1m,0.1,L22,400,0,0.004,0.0579,4274,0.09315109252929688
our-cpp,synthetic1m,0.1,L22,600,0,0.006,0.052,6098,0.09315109252929688
our-cpp,synthetic1m,0.1,L22,800,0,0.007,0.0436,7887,0.09315109252929688
our-cpp,synthetic1m,0.1,L22,1000,0,0.009,0.0428,9643,0.09315109252929688
our-cpp,synthetic1m,0.1,L22,1200,0,0.01,0.0366,11257,0.09315109252929688
our-cpp,synthetic1m,0.1,L2LN,200,0,0.004,0.0755,5745,0.09315109252929688
our-cpp,synthetic1m,0.1,L2LN,400,0,0.007,0.0584,10685,0.09315109252929688
our-cpp,synthetic1m,0.1,L2LN,600,0,0.01,0.047,15245,0.09315109252929688
our-cpp,synthetic1m,0.1,L2LN,800,0,0.013,0.0451,19719,0.09315109252929688
our-cpp,synthetic1m,0.1,L2LN,1000,0,0.017,0.0457,24109,0.09315109252929688
our-cpp,synthetic1m,0.1,L2LN,1200,0,0.018,0.0354,28143,0.09315109252929688
our-cpp,synthetic1m,0.05,func1,200,0,0.002,0.0,1149,0.09315109252929688
our-cpp,synthetic1m,0.05,func1,400,0,0.003,0.0,2137,0.09315109252929688
our-cpp,synthetic1m,0.05,func1,600,0,0.004,0.0,3049,0.09315109252929688
our-cpp,synthetic1m,0.05,func1,800,0,0.006,0.0,3943,0.09315109252929688
our-cpp,synthetic1m,0.05,func1,1000,0,0.007,0.0,4821,0.09315109252929688
our-cpp,synthetic1m,0.05,func1,1200,0,0.009,0.0,5628,0.09315109252929688
our-cpp,synthetic1m,0.05,boxcox0,200,0,0.002,0.0,1149,0.09315109252929688
our-cpp,synthetic1m,0.05,boxcox0,400,0,0.003,0.0,2137,0.09315109252929688
our-cpp,synthetic1m,0.05,boxcox0,600,0,0.004,0.0,3049,0.09315109252929688
our-cpp,synthetic1m,0.05,boxcox0,800,0,0.006,0.0,3943,0.09315109252929688
our-cpp,synthetic1m,0.05,boxcox0,1000,0,0.007,0.0,4821,0.09315109252929688
our-cpp,synthetic1m,0.05,boxcox0,1200,0,0.008,0.0,5628,0.09315109252929688
our-cpp,synthetic1m,0.05,plus,200,1,0.003,0.0197,3873,0.09315109252929688
our-cpp,synthetic1m,0.05,plus,400,1,0.005,0.017,6776,0.09315109252929688
our-cpp,synthetic1m,0.05,plus,600,1,0.007,0.0108,9294,0.09315109252929688
our-cpp,synthetic1m,0.05,plus,800,0,0.006,0.0498,7887,0.09315109252929688
our-cpp,synthetic1m,0.05,plus,1000,0,0.007,0.0436,9643,0.09315109252929688
our-cpp,synthetic1m,0.05,plus,1200,0,0.008,0.0385,11257,0.09315109252929688
our-cpp,synthetic1m,0.05,minus,200,1,0.003,0.0186,3680,0.09315109252929688
our-cpp,synthetic1m,0.05,minus,400,1,0.005,0.015,6677,0.09315109252929688
our-cpp,synthetic1m,0.05,minus,600,1,0.007,0.0129,9343,0.09315109252929688
our-cpp,synthetic1m,0.05,minus,800,1,0.009,0.0111,12446,0.09315109252929688
our-cpp,synthetic1m,0.05,minus,1000,1,0.011,0.01,14946,0.09315109252929688
our-cpp,synthetic1m,0.05,minus,1200,1,0.013,0.0095,18375,0.09315109252929688
our-cpp,synthetic1m,0.05,multi,200,1,0.013,0.0121,4774,0.0969085693359375
our-cpp,synthetic1m,0.05,multi,400,1,0.007,0.0095,7267,0.0969085693359375
our-cpp,synthetic1m,0.05,multi,600,0,0.006,0.0409,6098,0.0969085693359375
our-cpp,synthetic1m,0.05,multi,800,0,0.007,0.0381,7887,0.0969085693359375
our-cpp,synthetic1m,0.05,multi,1000,0,0.008,0.0353,9643,0.0969085693359375
our-cpp,synthetic1m,0.05,multi,1200,0,0.01,0.0318,11257,0.0969085693359375
our-cpp,synthetic1m,0.05,devide,200,1,0.003,0.0015,4153,0.0969085693359375
our-cpp,synthetic1m,0.05,devide,400,0,0.004,0.0488,4274,0.0969085693359375
our-cpp,synthetic1m,0.05,devide,600,0,0.005,0.0426,6098,0.0969085693359375
our-cpp,synthetic1m,0.05,devide,800,0,0.007,0.0353,7887,0.0969085693359375
our-cpp,synthetic1m,0.05,devide,1000,0,0.008,0.0328,9643,0.0969085693359375
our-cpp,synthetic1m,0.05,devide,1200,0,0.009,0.0311,11257,0.0969085693359375
